rank,id,repository,name,url,decision,decision_reason,description_en,team_reason,tags,limitations,source_evidence,stars_snapshot,live_checked_at,live_stars,live_archived,live_pushed_at,root_license,readme_url,readme_sha256,license_url,license_sha256,tested
54,6266,getrebuild/rebuild,REBUILD,https://github.com/getrebuild/rebuild,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,A configurable business-management system with AI assistants and workflow automation.,业务团队可共享实体、部门角色、审批和专属助手。,"ai-assisted, enterprise-platform, workflow",GPL/商业双许可，具体AI和高阶功能版差需确认。,README零代码建模、细权限、AI与IM。,1069,,,,,,,,,,False
55,6358,atlassian/atlassian-mcp-server,Atlassian MCP Server,https://github.com/atlassian/atlassian-mcp-server,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"An official hosted bridge to Jira, Confluence, and Atlassian teamwork data.",团队可按现有权限检索任务/知识并从助手处理工作。,"mcp, collaboration, project-management",云服务不是完整server源码；第三方连接器full/limited权限语义不同。,READMEOAuth/tokens、permission groups、audit和TeamworkGraph。,1050,,,,,,,,,,False
56,6489,kittors/CliRelay,CliRelay,https://github.com/kittors/CliRelay,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"A multi-tenant gateway with model routing, quotas, roles, and audit logs.",团队多人管理模型访问并让用户查询各自用量。,"llm-gateway, multi-tenant, governance",订阅/OAuth转接是否允许取决于上游条款，MIT不授予服务再分发权。,README tenants/users、permission profiles、PG/Redis。,1021,,,,,,,,,,False
57,6570,KevinLiss/ApeAdmin,ApeAdmin,https://github.com/KevinLiss/ApeAdmin,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"An admin framework with RBAC, plugins, audit logs, and an MCP gateway.",团队可把业务后台按现有角色权限暴露为代理工具。,"ai-native, admin-framework, mcp, governance",部署底座不含业务插件；AI编写不是唯一AI依据，安全未测。,README FastAPI/Vue、RBAC过滤和MCP-SSE。,1003,,,,,,,,,,False
58,2,obra/superpowers,Superpowers,https://github.com/obra/superpowers,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"Reusable coding-agent workflows for design approval, implementation plans, testing, and review.",将设计确认、计划、测试和审查写成可复用工作规范，减少同事使用不同 AI 编码方式带来的交接差异。,"coding, skills, workflow",技能和开发方法集合，不是多人协作平台；具体流程应按团队规则调整。,README L37-46、L307-321、L339-364,289295,,,,,,,,,,False
59,4,affaan-m/ECC,ECC,https://github.com/affaan-m/ECC,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"A coding-agent toolkit with reusable workflows, project rules, security checks, and portable memory.",统一开发规则、审查流程和团队版本化记忆，便于跨工具交接上下文。,"coding, skills, knowledge",不同运行时功能不等价；开源仓库与付费 ECC Pro GitHub App 分开；未测试规则效果。,README L127-150、L1194-1240、L139、L1519,263782,,,,,,,,,,False
60,22,langchain-ai/langchain,LangChain,https://github.com/langchain-ai/langchain,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Composable interfaces and integrations for building agents and LLM-powered applications.,工程团队统一模型、检索器和工具接口，复用应用组件并协作迭代。,"framework, agents, development",不自带多人工作区；LangSmith、LangGraph 是独立产品；现有清单只有 HITL 文档，不能算已收录整个框架。,README L24、L42-68,146750,,,,,,,,,,False
61,84,stablyai/orca,Orca,https://github.com/stablyai/orca,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,A coding-agent workbench that connects isolated worktrees to GitHub and Linear tasks and supports inline review feedback.,从团队工单开启隔离任务，查看 PR 并将 diff 评论反馈给智能体，衔接团队任务与代码审查。,"coding, review, workflow",桌面工作台与手机遥控，不宣称多人实时共同编辑；团队关联通过已有 GitHub/Linear 工作流。,README Parallel Worktrees、GitHub & Linear、Annotate AI Diffs,73670,,,,,,,,,,False
62,87,ruvnet/ruflo,Ruflo,https://github.com/ruvnet/ruflo,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,"An agent orchestration toolkit with reusable workflows, persistent memory, and cross-installation coordination.",工程团队可复用任务流程和项目记忆，通过跨部署通信及变更前检查交接工作。,"agents, workflow, knowledge",主要是智能体编排，不能当成多人 SaaS；不背书自动合规、零泄漏或性能倍数；Web UI beta。,README L90-95、L208-215、L282-299、L391,72940,,,,,,,,,,False
63,94,Fission-AI/OpenSpec,OpenSpec,https://github.com/Fission-AI/OpenSpec,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"Version-controlled specifications and change plans shared across people, coding agents, and repositories.",统一需求、设计和实施任务；跨仓库规格库让平台团队维护规范、产品团队只读引用，便于计划评审和交接。,"specifications, collaboration, coding",跨仓库 Stores 为 beta；采用 Git 共享，不是独立项目管理 SaaS。,README L58-98、Why teams adopt OpenSpec L111-119、L170,69683,,,,,,,,,,False
64,111,usestrix/strix,Strix,https://github.com/usestrix/strix,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"AI-assisted security testing that produces validated findings, remediation guidance, and patches.",安全与开发团队通过可复现发现、修复建议及补丁交接安全问题，适合已有测试授权的工程流程。,"security, testing, review",SSO 和定制报告属 Enterprise；云 PR Review 与本地 CLI 分开，不背书零误报或自动合规。,README L47-55、L103-104、L120-124、L194,63876,,,,,,,,,,False
65,140,ChromeDevTools/chrome-devtools-mcp,Chrome DevTools MCP,https://github.com/ChromeDevTools/chrome-devtools-mcp,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"Browser inspection, debugging, and performance tools exposed to coding agents through MCP and a CLI.",让开发和 QA 工作流基于真实浏览器截图、网络请求、控制台与性能 trace 验证改动，改善问题复现和交接。,"testing, debugging, mcp",不是团队协作界面；官方只保证 Chrome/Chrome for Testing，部分性能工具会请求 CrUX。,README L5-35,52383,,,,,,,,,,False
66,153,HKUDS/CLI-Anything,CLI-Anything,https://github.com/HKUDS/CLI-Anything,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Tools for building structured CLI interfaces that let agents operate existing software and produce reusable artifacts.,工程团队可为已有办公、设计和协作软件建立可复用操作接口，接入内部 AI 自动化流程。,"agents, integration, development",生成接口框架，不等于所有软件已经支持；各 harness 的依赖、质量和授权需分别核验。,README 项目定位、CLI-Hub、应用类别 L826-829,49629,,,,,,,,,,False
67,166,KeygraphHQ/shannon,Shannon (Keygraph),https://github.com/KeygraphHQ/shannon,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,An AI security-testing agent that turns code-informed testing into reproducible findings and CI reports.,开发和安全团队可在本地或 CI 中验证问题，通过报告和 SARIF 交接修复。,"security, testing, ci",组织级共享平台和全生命周期漏洞管理属 Keygraph Enterprise；不背书无误报宣传。,README L2、L14-18、L238-242、L307,48235,,,,,,,,,,False
68,209,mindsdb/mindshub,MindsHub,https://github.com/mindsdb/mindshub,保留待深核,有进一步审阅价值；本批未完成当前状态与许可补查，保留后续处理。,"An agent workspace for creating and sharing internal apps, analyses, documents, and other work artifacts.",把 AI 生成的内部工具和分析发布成团队可访问 URL，支持自建平台统一运行。,"agents, artifacts, collaboration",superproject 为 MIT，但子模块各有许可；推理服务独立，不宣称所有托管能力均在源码中。,README L9、L32-36、L54、L121、L147,39760,,,,,,,,,,False
69,221,google/langextract,LangExtract,https://github.com/google/langextract,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Structured document extraction with source-linked results and visual review artifacts.,数据与业务团队将文本抽取为统一结构，并通过原文定位及 HTML 结果审查、交接。,"documents, data, review",组件而非多人标注平台；模型推断的准确性需人工验证，不能等同事实保证。,README Introduction、Why LangExtract L53-59,38630,,,,,,,,,,False
70,222,alibaba/open-code-review,Open Code Review,https://github.com/alibaba/open-code-review,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,"An AI review CLI that analyzes code changes and produces structured, line-specific feedback.",团队在合并前获得带代码上下文的审查评论，也可扫描现有目录辅助接手代码。,"coding, review, quality",需要模型端点；不把作者基准优势视为普遍效果，仍需人工审查。,README What is Open Code Review L43-47,38440,,,,,,,,,,False
71,276,github/github-mcp-server,GitHub MCP Server,https://github.com/github/github-mcp-server,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"GitHub's official MCP interface for repository context, issue triage, pull requests, and workflow inspection.",把团队已有代码、Issue、PR 和 CI 状态接入 AI，减少背景搬运并支持协作任务处理。,"mcp, coding, collaboration",能力受授权和组织策略约束；GitHub Enterprise Server 不支持同样的远程托管路径。,README L5-15、Prerequisites、Enterprise 配置说明,33090,,,,,,,,,,False
72,299,googleworkspace/cli,Google Workspace CLI,https://github.com/googleworkspace/cli,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,A structured CLI and skill set for connecting agents to Google Workspace APIs.,让智能体处理团队 Drive、日历、邮件等现有工作资产，统一 API 调用及结构化输出。,"integration, cli, workflow",仓库明确不是 Google 官方支持产品；尚未 v1，可能破坏性变更，权限由 OAuth 控制。,README L3-7、L19-22、Prerequisites,31076,,,,,,,,,,False
73,323,openai/openai-agents-python,OpenAI Agents SDK,https://github.com/openai/openai-agents-python,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"An agent-development SDK with tools, handoffs, sessions, human intervention, and execution tracing.",团队构建可交接、可人工介入和可追踪的 AI 应用，以共用框架排查执行问题。,"framework, agents, observability",软件开发组件，不是多人协作平台；各模型与沙箱服务费用和边界独立。,README Core concepts L12-21,29586,,,,,,,,,,False
74,362,eyaltoledano/claude-task-master,Task Master,https://github.com/eyaltoledano/claude-task-master,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,Task planning tools that turn product requirements into dependency-aware work for coding agents.,把 PRD、任务拆分、状态和依赖显式记录，供开发者与智能体复用，减少任务交接歧义。,"tasks, planning, coding",MIT 加 Commons Clause，不标为标准 MIT；未核验独立团队协作服务的套餐边界。,README 定位、Task Structure/Dependencies、工具列表 L354-358,28086,,,,,,,,,,False
75,367,google-labs-code/design.md,DESIGN.md Specification,https://github.com/google-labs-code/design.md,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"A structured design-system format with machine-readable tokens, human rationale, and validation tools.",设计与研发把视觉规范作为共同文件交给 AI，并比较版本变化、检查 token 和结构，改善设计交接。,"design, standards, handoff",规范与工具，不是多人设计 SaaS；对比 Awesome DESIGN.md 的第三方案例应分开。,README The Format、validation、version comparison,28019,,,,,,,,,,False
76,417,titanwings/distilly,Distilly,https://github.com/titanwings/distilly,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"Tools for turning documented experience and working methods into portable, source-grounded agent profiles.",将同事提供的经验、决策模式和工作资料整理成可复用技能，辅助人员交接和知识传承。,"knowledge, handoff, skills",原名 Colleague Skill；输出是资料驱动画像，不是本人、授权替身或其真实观点，需检查来源与使用范围。,README L11-13、L27、L38-44,24910,,,,,,,,,,False
77,443,coleam00/Archon,Archon,https://github.com/coleam00/Archon,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,"Version-controlled coding-agent workflows with validation gates, isolated runs, and human approval.",把团队规划、实现、测试、审查和 PR 过程写进仓库 YAML，从多个协作入口复用。,"workflow, coding, quality",确定的是流程结构，不保证生成结果确定性或无冲突；未实测部署。,README L23-41、workflow portability,23511,,,,,,,,,,False
78,510,t8y2/dbx,DBX,https://github.com/t8y2/dbx,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,An AI-assisted database workspace with MCP access and configurable connection and write scopes.,团队可自建浏览器入口，复用数据库连接，并给 AI 限定只读、数据写入或高风险操作范围。,"data, analytics, mcp, self-hosted",未证实多用户细粒度 RBAC；连接操作模式不等同完整组织权限。,README Why DBX、L197、MCP settings L272,20217,,,,,,,,,,False
79,511,google/skills,Google Agent Skills,https://github.com/google/skills,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,Official skill packages for Google technologies and cloud solution workflows.,采用 Google 栈的团队复用架构、认证、AI 安全和企业检索等操作方法，统一工程交接。,"skills, cloud, practices",技能包不提供相关云服务；各服务权限和费用独立，未运行技能。,README 产品范围与 Available Skills,20213,,,,,,,,,,False
80,514,pydantic/pydantic-ai,Pydantic AI,https://github.com/pydantic/pydantic-ai,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Typed Python tools for building agent applications with validated outputs and modular integrations.,工程团队用统一类型和数据校验约定协作开发 AI 应用，减少模型输出与业务代码接口错配。,"framework, development, quality",Harness、Logfire、Gateway 是独立层或产品，不把全部治理能力归入基础库。,README 定位、Data extraction L83、生态说明 L28-30,20074,,,,,,,,,,False
81,515,eosphoros-ai/DB-GPT,DB-GPT,https://github.com/eosphoros-ai/DB-GPT,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,"An agentic data assistant for SQL, code-based analysis, reusable skills, and report generation.",数据团队把数据库、表格与知识库接入同一分析流程，生成可交接的图表、报告和摘要。,"analytics, data, agents",不宣称已有细粒度多人员权限；SQL 和代码产出仍需验证。,README What is DB-GPT L61-69,20018,,,,,,,,,,False
82,559,labring/sealos,Sealos,https://github.com/labring/sealos,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"A Kubernetes-based application platform with shared development environments, workspace isolation, and AI deployment tooling.",团队统一云开发与部署环境，按工作区控制角色和资源额度，为 AI 应用提供运行基础。,"infrastructure, development, operations",Sealos Sustainable Use 自定义许可，不是标准开源许可证；不将宣传的 AI-native 等同原生多人智能体产品。,README L13、L109-113、License,18351,,,,,,,,,,False
83,570,cloudflare/security-audit-skill,Cloudflare Security Audit Skill,https://github.com/cloudflare/security-audit-skill,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"A structured security-review skill with coverage records, independent finding verification, and report artifacts.",安全审查以覆盖台账和可核验发现交接，区分确认、待验证与已排除问题，便于团队复审。,"security, review, skills",单仓库起步技能，不等同 Cloudflare 内部全量安全系统；未执行任何审计。,README What it does、verdicts 和 additive runs,18078,,,,,,,,,,False
84,600,AgriciDaniel/claude-seo,Claude SEO,https://github.com/AgriciDaniel/claude-seo,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,SEO review skills that produce prioritized findings and testable recommendations for websites.,营销团队和代理商用统一审查流程生成可验证改进清单，便于向研发或客户交接。,"marketing, review, skills",公共 MIT 与私有社区镜像分开；不背书流量效果或耗时承诺。,README 定位、Who this is for、reporting,17314,,,,,,,,,,False
85,602,microsoft/data-formulator,Data Formulator,https://github.com/microsoft/data-formulator,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,An AI-assisted visual analysis workspace with data connectors and branching exploration histories.,数据分析者把来源关系、探索分支和图表保留下来，便于向同事解释分析路径与结果。,"analytics, visualization, handoff",人机分析工作台，不宣称多人员实时协作或细粒度权限。,README Why Data Formulator L30-46,17266,,,,,,,,,,False
86,612,cvat-ai/cvat,CVAT,https://github.com/cvat-ai/cvat,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"A visual-data annotation platform with organizations, task assignments, review discussions, and automation integrations.",标注与模型团队分配任务、按角色协作，并用评论和 issues 复核数据质量。,"data, annotation, collaboration, self-hosted",SSO、部分 AI agents/SAM 功能属于 Online 付费或 Enterprise；serverless 第三方模型许可单独核验。,README Community、Collaboration、paid feature boundary,16756,,,,,,,,,,False
87,615,langchain-ai/openwiki,OpenWiki,https://github.com/langchain-ai/openwiki,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,A documentation CLI that maintains source-linked Markdown knowledge through repository workflows and CI.,团队共用代码 wiki、版本化来源和配置，在源码变化后更新说明，降低入职与交接文档过时风险。,"documentation, knowledge, ci",模型生成仍需 review；不能因 grounded claims 机制就保证文档始终准确。,README L19-37、共享配置 L243,16669,,,,,,,,,,False
88,621,memvid/memvid,Memvid,https://github.com/memvid/memvid,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"A portable, versioned single-file memory layer for AI agents.",工程团队可将记忆数据作为可版本化文件交接和复用，支持可审查的 AI 工作流。,"memory, portability, development",可携带文件不是多人权限治理；不引用基准领先或延迟倍率。,README L14-15、use cases,16550,,,,,,,,,,False
89,648,GLips/Figma-Context-MCP,Framelink Figma MCP,https://github.com/GLips/Figma-Context-MCP,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,An MCP bridge that turns Figma layout and styling data into context for coding agents.,设计师的 Figma 文件成为开发智能体的结构化输入，减少截图和口头说明的交接损耗。,"design, handoff, mcp",第三方实现，非 Figma 官方；不保证一次生成即准确还原。,README How it works L42-49,15883,,,,,,,,,,False
90,720,superset-sh/superset,Superset (coding workspace),https://github.com/superset-sh/superset,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"A coding-agent workbench with isolated worktrees, diff review, and workspace handoff tools.",工程师把并行 AI 任务分开运行，查看差异并交回编辑器或终端，接入团队现有代码评审流程。,"coding, review, workflow",不是 Apache Superset；ELv2 源码可见，不是标准开源；不宣称真人多人权限。,README L37-44、License,14422,,,,,,,,,,False
91,872,cobusgreyling/loop-engineering,Loop Engineering,https://github.com/cobusgreyling/loop-engineering,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,"Patterns and tooling for persistent agent workflows that discover work, verify results, and manage repository maintenance.",团队把日常 triage、CI 和 PR 跟进流程变成有状态可检查的循环，保留验证和交接依据。,"workflow, practices, coding",初期 report-only；不是自动重构保证，具体执行策略需按项目配置。,README L44-55、CLI surface,11265,,,,,,,,,,False
92,891,voxel51/fiftyone,FiftyOne,https://github.com/voxel51/fiftyone,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"Visual dataset exploration, labeling, and model-evaluation tools for computer-vision workflows.",数据与模型团队用同一可视化视图检查样本和预测，定位数据问题并交接质量改进。,"data, evaluation, computer-vision",正式云端多人协作主要归 Enterprise，不当作开源版无条件提供。,README L41-48、Enterprise 说明,11104,,,,,,,,,,False
93,911,doccano/doccano,doccano,https://github.com/doccano/doccano,建议审阅,已有明确的真人团队使用证据；补查官方资料后进入用户审阅短名单。,"A collaborative text-annotation platform for building classification, entity, and sequence datasets.",标注人员共同维护 NLP 训练或评估数据，借助项目和 API 交接数据给模型团队。,"data, annotation, collaboration",用于协作准备 NLP 训练和评估数据，非 AI-native 助手；最近推送 2026-04-14，部署及权限粒度未实测。,README 定位、Features collaborative annotation,10771,2026-09-21T16:20:44.268938+00:00,10771,False,2026-04-14T21:16:25Z,MIT,https://github.com/doccano/doccano/blob/master/README.md,fadafd43ee201ba414477763b0aab1518beaf584b6c61dbca5c36cc64f87bcc9,https://github.com/doccano/doccano/blob/master/LICENSE,1dbc0e0e05af8cc591de6536a5ba2775d653438d55612a0578edc0322cc91864,False
94,957,Netflix/metaflow,Metaflow,https://github.com/Netflix/metaflow,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,A framework for reproducible AI and ML workflows from local experiments to managed production execution.,科学家与工程师在统一代码、数据、运行和产物记录上协作，把实验可追溯地交给生产。,"mlops, workflow, reproducibility",框架与 Outerbounds 服务分开，基础设施和生产编排需配置。,README L5-18,10275,,,,,,,,,,False
95,963,openchamber/openchamber,OpenChamber,https://github.com/openchamber/openchamber,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,A coding-agent workspace with guided diff walkthroughs and issue-to-PR feedback loops.,工程师围绕团队 Issue、失败检查和审查意见启动任务，使用变更导览理解 AI 改动再交付。,"coding, review, handoff",多端个人会话不宣称多人权限；独立于 OpenCode 官方团队。,README L38-48、session management,10174,,,,,,,,,,False
96,984,nicobailon/visual-explainer,Visual Explainer,https://github.com/nicobailon/visual-explainer,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"A skill for turning architecture, code changes, and plan comparisons into standalone visual review pages.",将智能体输出变成同事易读的 HTML 图解和比较表，支持设计审查与需求交接。,"communication, review, skills",PPTX best-effort，HTML 为依据；可视化不证明内容正确。,README L7-27、导出支持矩阵,9883,,,,,,,,,,False
97,996,Companion-Inc/feynman,Feynman,https://github.com/Companion-Inc/feynman,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,"A research-agent workbench with source-backed investigation, versioned artifacts, and review feedback.",研究团队可围绕来源、文档产物和验证记录审查成果，保留注释与版本便于交接。,"research, artifacts, review",本地 workbench 不宣称完整多用户组织平台；研究结论需人工核查。,README web research、Workbench control plane、paper audit,9719,,,,,,,,,,False
98,1015,Agents365-ai/drawio-skill,drawio-skill,https://github.com/Agents365-ai/drawio-skill,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"Tools for generating and maintaining editable architecture diagrams from text, code, and infrastructure sources.",团队维护可编辑架构图、同步真实系统变化，并用多视图及 walkthrough 进行设计评审和交接。,"documentation, architecture, skills",仿真与自检不证明架构正确；不是此前未选 Next AI Draw.io 项目。,README L14、source inputs、maintenance features,9512,,,,,,,,,,False
99,1053,usekaneo/kaneo,Kaneo,https://github.com/usekaneo/kaneo,建议审阅,已有明确的真人团队使用证据；补查官方资料后进入用户审阅短名单。,"A self-hosted project-management workspace with an official MCP interface for tasks, projects, and labels.",真人团队和 AI 共用现有任务与项目数据，智能体通过内建 MCP 接口减少手工搬运状态。,"tasks, collaboration, mcp, self-hosted",项目管理工具加 AI 接口，不宣称内置自主编码或高级权限。,README Why Kaneo、MCP Server L151-153,9141,2026-09-21T16:20:41.906922+00:00,9147,False,2026-09-20T07:21:33Z,MIT,https://github.com/usekaneo/kaneo/blob/main/README.md,1f8901d0f16099d750ffe724b2914d6e086e8da0e5585d569b8f782732310624,https://github.com/usekaneo/kaneo/blob/main/LICENSE,cac4045c448a27879b14e2bd3619aade7569c651b35ee6bb0e48b3cefca88f1d,False
100,1088,bentoml/BentoML,BentoML,https://github.com/bentoml/BentoML,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"A model-serving framework for reproducible APIs, container packaging, and multi-model deployments.",模型与平台团队通过版本化服务包交付推理接口，减少环境差异和部署交接成本。,"mlops, deployment, infrastructure",BentoCloud 是独立托管服务，开源框架不包含所有运营后台。,README What is BentoML L18-24,8854,,,,,,,,,,False
101,1139,automazeio/ccpm,CCPM,https://github.com/automazeio/ccpm,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"Specification-driven task management connecting PRDs, GitHub issues, and agent work.",真人与智能体共用 GitHub Issue 状态和评论，保留需求到代码的交接链。,"tasks, collaboration, skills",技能流程，不是另一个有完整 RBAC 的管理服务。,README L111-117,8381,,,,,,,,,,False
102,1158,k8sgpt-ai/k8sgpt,K8sGPT,https://github.com/k8sgpt-ai/k8sgpt,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,AI-assisted Kubernetes diagnosis and issue triage using specialist analyzers.,SRE 团队把集群检查结果转成可理解排障解释，减少交接背景成本。,"operations, observability",模型是否外传数据取决于配置；不是自动修复保证。,README L17-21,8194,,,,,,,,,,False
103,1184,vercel-labs/deepsec,deepsec,https://github.com/vercel-labs/deepsec,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,An agent-powered repository security scanner with resumable investigation state.,安全团队可对大型代码库做持续可恢复审查，并交接持久化发现。,"security, review",大库扫描成本可能很高；仅资料核验，未运行。,README L3-11、L28-33,8002,,,,,,,,,,False
104,1197,evidentlyai/evidently,Evidently,https://github.com/evidentlyai/evidently,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Evaluation reports and test suites for ML and LLM quality monitoring.,团队共用指标、参考集和通过条件，把评估接 CI 并交接可读报告。,"evaluation, quality, ci",LLM judge 不是事实保证；Cloud 与本地库独立。,README Reports and Test Suites,7932,,,,,,,,,,False
105,1211,snarktank/ai-dev-tasks,AI Dev Tasks,https://github.com/snarktank/ai-dev-tasks,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"Reusable PRD, task-planning, and review checkpoints for AI feature development.",团队用同一需求和任务格式逐步批准 AI 修改，便于跟踪与交接。,"planning, skills, review",提示模板，不是强制执行审批平台。,README L9-13,7786,,,,,,,,,,False
106,1249,refly-ai/refly,Refly,https://github.com/refly-ai/refly,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,A visual platform for versioned executable skills and shared agent workflows.,团队将 SOP 变成可复用技能，在工作区维护版本与运行记录。,"skills, workflow, collaboration",自定义 Apache 附加限制许可；部分导出与教程未完成，不采纳完全合规承诺。,README L62、L116、L131,7527,,,,,,,,,,False
107,1264,apache/hertzbeat,Apache HertzBeat,https://github.com/apache/hertzbeat,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Unified observability and alert routing with AI interactions and MCP access.,运维团队在同一平台收集信号、分析告警并通知已有协作渠道。,"operations, observability, mcp",无采集 agent 不代表没有 AI；未核验所有 AI 子功能。,README L29-40,7399,,,,,,,,,,False
108,1363,dataease/SQLBot,SQLBot,https://github.com/dataease/SQLBot,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,A conversational analytics system with workspace isolation and data permissions.,业务与数据团队共用数据问答、术语与 SQL 示例，并分配访问范围。,"analytics, teams",FIT2CLOUD 许可证含 GPLv3 之外附加限制；未实测 SQL 正确率。,README L21、29–32：ChatBI、工作区与细粒度数据权限。,6836,,,,,,,,,,False
109,1381,Gentleman-Programming/engram,Engram,https://github.com/Gentleman-Programming/engram,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,Persistent agent memory with portable sync and optional shared access.,团队可通过记忆约定和 Git 同步交接项目上下文。,"memory, engineering",默认本地记忆；云共享可选，不能把本地安装等同多人服务。,README L145、196：本地数据库、Git Sync、可选云项目共享。,6731,,,,,,,,,,False
110,1544,Q00/ouroboros,Ouroboros by Q00,https://github.com/Q00/ouroboros,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,Replayable AI coding workflows with structured requirements and task publishing.,团队将需求转成可追踪规格及 GitHub Epic/Task，便于审查和交接。,"ai-native, engineering",业务插件另仓；与 razzant 同名项目无关系，自改进效果未实测。,README L24、95、110、431：可重放工作流与任务发布。,6049,,,,,,,,,,False
111,1557,ZSeven-W/openpencil,OpenPencil by ZSeven-W,https://github.com/ZSeven-W/openpencil,保留待深核,有进一步审阅价值；本批未完成当前状态与许可补查，保留后续处理。,An AI-native vector editor with collaborative editing and agent tools.,设计与研发可共同编辑画布，查看远端光标和冲突并交接设计。,"ai-native, design, collaboration",旧 TypeScript 编辑器已退役；赞助商能力不归本项目，Rust 产品仍开发中。,README L142、426–430、526、671：P2P 协作、冲突与 Rust 版本。,5991,,,,,,,,,,False
112,1578,loopx-project/loopx,LoopX,https://github.com/loopx-project/loopx,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,"Persist goals, evidence, and handoffs across long-running agent workflows.",团队保留任务目标、人工关口与证据，便于恢复和交接。,"ai-native, workflows",不是自主生产控制器；跨主机共享目标协调仍孵化中。,README L7–26、424、595–596：状态控制面与协作投影。,5909,,,,,,,,,,False
