id,repository,url,stars_snapshot,metadata_decision,metadata_reason,metadata_review_basis,source_status,source_review_basis,source_reviewed_at,tested,team_reason,limitations,evidence,source_url,source_sha256,additional_source,related_id
1112,vahidk/EffectiveTensorflow,https://github.com/vahidk/EffectiveTensorflow,8581,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1113,digoal/blog,https://github.com/digoal/blog,8578,范围不优先：通用学习,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1114,jesse-ai/jesse,https://github.com/jesse-ai/jesse,8559,范围不优先：垂直领域,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1115,HKUDS/ClawWork,https://github.com/HKUDS/ClawWork,8549,待README核验,声称AI同事和收益，不据营销数字判断；核验任务交付及团队使用形态。,逐项阅读缓存的仓库名称与完整简介,secondary,README 评测性质与任务来源段落,2026-09-21T10:47:40.312295+00:00,False,职业任务经济评测可供研究，但核心为 GDPVal benchmark 与模拟收益衡量，非真人团队任务平台。,展示 income 不可直接理解为实际到账收益；不推荐为自动赚钱工具。,README Real-World Economic Benchmark、GDPVal tasks,https://raw.githubusercontent.com/HKUDS/ClawWork/HEAD/README.md,5781560ac829b566c979570e0e203d95b0b7efb8a4a6e191b016180bd23d33f8,,
1116,lastmile-ai/mcp-agent,https://github.com/lastmile-ai/mcp-agent,8549,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,README 持久运行与人工介入机制,2026-09-21T10:47:40.312296+00:00,False,工程团队复用工具连接与运行模式，复杂任务可持久暂停等待成员批准后恢复。,持久能力依赖 Temporal，基础库与相关服务分开。,README Overview L30-39、approval L596,https://raw.githubusercontent.com/lastmile-ai/mcp-agent/HEAD/README.md,f20d0148a6ba1ded30b6c60a1031292b48113c45794beadaccb1d9acb97eddf7,,
1117,OpenBMB/XAgent,https://github.com/OpenBMB/XAgent,8549,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,README 实验状态与人机能力,2026-09-21T10:47:40.312299+00:00,False,可向人请求帮助，但明确实验性通用智能体，不等于多人团队工作流。,不按宏大目标推断成熟程度，已有通用代理候选。,README Introduction、Cooperation with Human,https://raw.githubusercontent.com/OpenBMB/XAgent/HEAD/README.md,3b6098c278a6a3f10e48aea9cb9ad3b145afe4284c369d62e7f522192a96063c,,
1118,chuspeeism/dashi-ppt-skill,https://github.com/chuspeeism/dashi-ppt-skill,8531,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1119,open-pencil/open-pencil,https://github.com/open-pencil/open-pencil,8518,已收录,与现有清单的项目或官方入口对应，避免重复收录。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1120,THUDM/slime,https://github.com/THUDM/slime,8509,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1121,vaexio/vaex,https://github.com/vaexio/vaex,8508,范围不优先：通用软件,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1122,smtg-ai/claude-squad,https://github.com/smtg-ai/claude-squad,8506,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,README 会话和审查能力范围,2026-09-21T10:47:40.312301+00:00,False,隔离工作区与变更审查辅助编码，但与已有 worktree 管理器高度重叠，缺少真人共享机制。,自动接受模式不是默认人工审批保证；隔离目录不保证合并无冲突。,README 定位与 Highlights,https://raw.githubusercontent.com/smtg-ai/claude-squad/HEAD/README.md,0a8dbbac05f9860e9daa186f7bf9c53f788f9d7b01c2588871e6ad3d3f04ceb9,,
1123,aladdinpersson/Machine-Learning-Collection,https://github.com/aladdinpersson/Machine-Learning-Collection,8488,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1124,bitsandbytes-foundation/bitsandbytes,https://github.com/bitsandbytes-foundation/bitsandbytes,8486,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1125,loks666/get_jobs,https://github.com/loks666/get_jobs,8484,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1126,jeecgboot/jimureport,https://github.com/jeecgboot/jimureport,8477,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,README AI 功能和许可冲突内容,2026-09-21T10:47:40.312302+00:00,False,AI 报表和业务可视化适合团队，但 README 的代码开放、LGPL/GPL 与附加条款表述不一致。,暂列备选，不按免费宣传当作完整开放源码；需明确各模块授权和商业边界。,README 产品介绍、L37、license L713/L726/L738,https://raw.githubusercontent.com/jeecgboot/jimureport/HEAD/README.md,ab5757c316b1f7c4bd53b89b9dd1031fda4cd0aab15e331cc9906c69d09a5f0b,,
1127,rocketride-org/rocketride-server,https://github.com/rocketride-org/rocketride-server,8476,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,README 管线形式与协作运行能力段落,2026-09-21T10:47:40.312304+00:00,False,团队共享可版本化 JSON 管线，在熟悉 IDE 内共同构建、运行和检查 AI 数据流程。,不采纳运行即生产就绪的保证；模型和外部数据服务需单独配置。,README L19-23、shared pipelines L273、engine license,https://raw.githubusercontent.com/rocketride-org/rocketride-server/HEAD/README.md,dfeaca5755d96d0e9652e57e6e0f0e9e6914a884704b5271c44bc7bbb14b5d2d,,
1128,MorvanZhou/PyTorch-Tutorial,https://github.com/MorvanZhou/PyTorch-Tutorial,8468,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1129,unicity-aos/aos-ce,https://github.com/unicity-aos/aos-ce,8463,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,README 运行时分发与审批边界,2026-09-21T10:47:40.312305+00:00,False,提供 capsules/runtime 和审批接口，但真人团队协作用途尚不明确，与 Astrid 基础层相关。,不是一般桌面或多人业务 OS；与 Astrid 关联保留，不重复扩大平台能力。,README 产品组成、MCP approval surface,https://raw.githubusercontent.com/unicity-aos/aos-ce/HEAD/README.md,bb582151e83802e3f7b8a7823ecd91b647dd7e7c31457f328e24cfb8501b1079,,
1130,bytedance/flowgram.ai,https://github.com/bytedance/flowgram.ai,8457,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:22.325586+00:00,False,研发团队复用画布、节点表单和变量机制，构建内部流程平台。,开发框架，不是开箱即用协作平台。,README L15-17,https://raw.githubusercontent.com/bytedance/flowgram.ai/HEAD/README.md,fb2455cdc2a78c8da1d794073d8e9d2eecdbdfacd8debbcb0fb54180cae8814b,,
1131,ogx-ai/ogx,https://github.com/ogx-ai/ogx,8433,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:22.325779+00:00,False,平台团队统一模型、检索及技能接口，供多个应用复用。,原 Llama Stack；部分接口 alpha，不把兼容宣传当所有 API 等价。,README L18-50,https://raw.githubusercontent.com/ogx-ai/ogx/HEAD/README.md,6e9f2030a11973c115b9f7f7214c7a0bb87cd69f1820b5b1644950fcbf348f86,,
1132,lucidrains/imagen-pytorch,https://github.com/lucidrains/imagen-pytorch,8428,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1133,MiroMindAI/MiroThinker,https://github.com/MiroMindAI/MiroThinker,8413,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1134,unicity-aos/capsule-identity,https://github.com/unicity-aos/capsule-identity,8413,需去重核验,可能是已有项目的改名、组件、镜像或衍生入口，需核对后避免重复收录。,逐项阅读缓存的仓库名称与完整简介,duplicate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:22.325781+00:00,False,Astrid 的身份及提示组装组件，合并平台入口。,不是独立组织身份平台。,README L6-21,https://raw.githubusercontent.com/unicity-aos/capsule-identity/HEAD/README.md,9e0b887a760742bc8ffc4a9b42418cde630d22f40b1a2922de9d48816e02d8f6,,955
1135,idosal/git-mcp,https://github.com/idosal/git-mcp,8412,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:22.325783+00:00,False,团队让编码工具读取同一项目文档与源码，减少背景搬运。,远程文档服务不保证消除幻觉；私有仓库边界未核验。,README L30-37,https://raw.githubusercontent.com/idosal/git-mcp/HEAD/README.md,b92e4e2b0728a13506147f75f10d1614f9df633eaf233aea2414eac6ad4e081a,,
1136,unicity-aos/capsule-fs,https://github.com/unicity-aos/capsule-fs,8392,需去重核验,可能是已有项目的改名、组件、镜像或衍生入口，需核对后避免重复收录。,逐项阅读缓存的仓库名称与完整简介,duplicate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:22.325784+00:00,False,Astrid 文件操作组件，避免重复增加底层包。,隔离由宿主内核实施。,README L6-23,https://raw.githubusercontent.com/unicity-aos/capsule-fs/HEAD/README.md,cfd7c5a07c56649e65050d37e16a5f9c62344eba1969160f5e57dd695c49d740,,955
1137,google/artemis,https://github.com/google/artemis,8385,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:22.325785+00:00,False,QA 与开发共用真机测试、截图和 Logcat 证据复现问题。,不采纳基准成功率保证；需要设备与模型配置。,README L36-40,https://raw.githubusercontent.com/google/artemis/HEAD/README.md,48f6fa11dc93a02239e8ea1e7a2ba511fdd9059d0556ed166f69384c841c642a,,
1138,qualcomm/GenieX,https://github.com/qualcomm/GenieX,8383,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1139,automazeio/ccpm,https://github.com/automazeio/ccpm,8381,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:22.325787+00:00,False,真人与智能体共用 GitHub Issue 状态和评论，保留需求到代码的交接链。,技能流程，不是另一个有完整 RBAC 的管理服务。,README L111-117,https://raw.githubusercontent.com/automazeio/ccpm/HEAD/README.md,72b046b24796a2f35548c51ea3e82a2faef9426e099ab85904c5fbb8bbc56622,,
1140,a-ghorbani/pocketpal-ai,https://github.com/a-ghorbani/pocketpal-ai,8364,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1141,boson-ai/higgs-audio,https://github.com/boson-ai/higgs-audio,8356,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1142,firerpa/lamda,https://github.com/firerpa/lamda,8354,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:22.325789+00:00,False,明确多人并发远程访问，团队共同查看设备、验证选择器和调试自动化。,设备服务、客户端及授权边界需分别确认；未实测并发隔离。,README L16-28,https://raw.githubusercontent.com/firerpa/lamda/HEAD/README.md,1f9a36c347fdb45cf5532644066dd19e2cc77fb27457c6653f45a7726981bcf7,,
1143,google-labs-code/stitch-skills,https://github.com/google-labs-code/stitch-skills,8349,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:22.325791+00:00,False,Stitch 专用技能集，团队可复用设计方法，但与已选设计技能重叠。,依赖 Stitch，不能把平台功能算作技能本身。,README L1-3,https://raw.githubusercontent.com/google-labs-code/stitch-skills/HEAD/README.md,350b366bf9880cacf9a37447c89248a158d0d96ea6054beac15842877c164a12,,
1144,nebuly-ai/optimate,https://github.com/nebuly-ai/optimate,8328,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1145,withastro/flue,https://github.com/withastro/flue,8325,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:22.325792+00:00,False,团队把长期 AI 任务接到业务事件并保留恢复状态和运行记录。,框架而非多人工作区；沙箱和渠道需集成。,README L40-54,https://raw.githubusercontent.com/withastro/flue/HEAD/README.md,3c7e8779f13e0ef4dd85769546a66ec68ceffd696612f842cfb2867754450fc3,,
1146,py-why/dowhy,https://github.com/py-why/dowhy,8319,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1147,google-deepmind/pysc2,https://github.com/google-deepmind/pysc2,8311,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1148,mikel-brostrom/boxmot,https://github.com/mikel-brostrom/boxmot,8301,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1149,lmcinnes/umap,https://github.com/lmcinnes/umap,8259,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1150,Infrasys-AI/AIInfra,https://github.com/Infrasys-AI/AIInfra,8257,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1151,duixcom/Duix-Mobile,https://github.com/duixcom/Duix-Mobile,8249,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1152,pydantic/monty,https://github.com/pydantic/monty,8247,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:50.240973+00:00,False,平台团队用统一函数和挂载边界运行 AI 代码，控制时间、内存与宿主访问。,不是完整 Python 或多人平台；Full Monty 商业服务独立。,README L23-28,https://raw.githubusercontent.com/pydantic/monty/HEAD/README.md,8538013050e7245d609aa263dc15592f9c2bf5491885a9083ee502379a1f03b0,,
1153,n4ze3m/page-assist,https://github.com/n4ze3m/page-assist,8220,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1154,WooooDyy/LLM-Agent-Paper-List,https://github.com/WooooDyy/LLM-Agent-Paper-List,8220,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1155,max-sixty/worktrunk,https://github.com/max-sixty/worktrunk,8211,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:50.241064+00:00,False,工程成员用一致工作区流程隔离 AI 修改，方便测试和交接分支。,worktree 不保证最终合并无冲突；不是多用户 SaaS。,README L18-35,https://raw.githubusercontent.com/max-sixty/worktrunk/HEAD/README.md,fb2a1bf82481c234cf292218423a385c13e6e3853a7fb3ff20cdfbc783195540,,
1156,maximhq/bifrost,https://github.com/maximhq/bifrost,8199,已收录,与现有清单的项目或官方入口对应，避免重复收录。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1157,zilliztech/GPTCache,https://github.com/zilliztech/GPTCache,8196,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:50.241066+00:00,False,语义缓存可减少团队应用重复调用，但已停止新增模型/API 适配。,建议使用通用 get/set；不背书节省倍率。,README L17、L27,https://raw.githubusercontent.com/zilliztech/GPTCache/HEAD/README.md,b87b5f73df7bdca3c15406db78aaa2830e1bc48fd0136cb63a1bca01a2da08de,,
1158,k8sgpt-ai/k8sgpt,https://github.com/k8sgpt-ai/k8sgpt,8194,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:50.241067+00:00,False,SRE 团队把集群检查结果转成可理解排障解释，减少交接背景成本。,模型是否外传数据取决于配置；不是自动修复保证。,README L17-21,https://raw.githubusercontent.com/k8sgpt-ai/k8sgpt/HEAD/README.md,79e6bb69f817ee9e2dff984b41512779202ac77b8726b6bd9b444a064e8cbba3,,
1159,OpenDCAI/DataFlow,https://github.com/OpenDCAI/DataFlow,8192,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:50.241068+00:00,False,数据团队在 Python/Git 中复用清洗与生成流程，保留管线来源和变更。,WebUI/MCP 在独立项目；生成数据须审核。,README L6、L132,https://raw.githubusercontent.com/OpenDCAI/DataFlow/HEAD/README.md,0f7a13b9dc9e68a50c54340b64977246f328b5d5cf3b505105022161d23570b5,,
1160,brycedrennan/imaginAIry,https://github.com/brycedrennan/imaginAIry,8187,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1161,jessevig/bertviz,https://github.com/jessevig/bertviz,8182,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1162,jnMetaCode/superpowers-zh,https://github.com/jnMetaCode/superpowers-zh,8162,需去重核验,可能是已有项目的改名、组件、镜像或衍生入口，需核对后避免重复收录。,逐项阅读缓存的仓库名称与完整简介,duplicate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:50.241070+00:00,False,上游技能翻译和本地扩展，保留关联不重复当新平台。,含原创中文技能，不是逐字镜像。,README L3-7,https://raw.githubusercontent.com/jnMetaCode/superpowers-zh/HEAD/README.md,34a03ae4ce5cca175701171196c5121f67848949946df88398fcba07d9b543a3,,2
1163,jamez-bondos/awesome-gpt4o-images,https://github.com/jamez-bondos/awesome-gpt4o-images,8151,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1164,anthropics/claude-agent-sdk-python,https://github.com/anthropics/claude-agent-sdk-python,8140,待README核验,官方Agent SDK无简介，需核对源码README后判断团队应用开发用途。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:50.241071+00:00,False,工程团队在业务应用中统一配置代理工具与批准策略，复用执行能力。,商业服务条款适用；allowlist 自动批准不等于移除未列工具。,README tools L59、terms L377,https://raw.githubusercontent.com/anthropics/claude-agent-sdk-python/HEAD/README.md,c38a933bf8fef26316ea38635989b254e69a26d21d80b96bf5731cba4e88bcc6,,
1165,GetStream/Vision-Agents,https://github.com/GetStream/Vision-Agents,8136,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:50.241074+00:00,False,实时视频代理框架可用于业务产品，但与现有语音多模态框架重叠。,Stream 网络与 SDK 分开，不采纳延迟承诺。,README Key Highlights,https://raw.githubusercontent.com/GetStream/Vision-Agents/HEAD/README.md,4900448807c4473bc095700307fa80e01575b8cbb57fbb245dd12d48bf384618,,
1166,pinokiocomputer/pinokio,https://github.com/pinokiocomputer/pinokio,8132,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,not-priority,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:50.241076+00:00,False,通用本地脚本启动器，未体现团队 AI 协作机制。,目录审查不等于所有脚本绝对安全。,README Script Policy,https://raw.githubusercontent.com/pinokiocomputer/pinokio/HEAD/README.md,73cef2775c71f7f4f9a105ebcc990b46fcd1e30e264e13d97844e82c8ac80aff,,
1167,ai-dynamo/dynamo,https://github.com/ai-dynamo/dynamo,8131,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1168,microsoft/Mastering-GitHub-Copilot-for-Paired-Programming,https://github.com/microsoft/Mastering-GitHub-Copilot-for-Paired-Programming,8125,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T10:58:50.241078+00:00,False,团队采用同一练习和流程培训成员，统一 AI 编码基本方法。,课程不是产品；Copilot 访问另需授权，未运行课程。,README L4-6、课程表,https://raw.githubusercontent.com/microsoft/Mastering-GitHub-Copilot-for-Paired-Programming/HEAD/README.md,16a4989de19f286b1a1d9e5c9b2d9958b1681e370a7212bcd1381aed039d65f9,,
1169,jackzhenguo/python-small-examples,https://github.com/jackzhenguo/python-small-examples,8122,范围不优先：通用学习,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1170,FareedKhan-dev/kimi-k3-in-c,https://github.com/FareedKhan-dev/kimi-k3-in-c,8117,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1171,nullclaw/nullclaw,https://github.com/nullclaw/nullclaw,8103,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,secondary,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T11:00:17.973999+00:00,False,轻量个人代理运行时，任务跟踪和组织界面多来自独立生态组件。,不把 nullhub/nulltickets 能力归给核心。,README L1-3、L24-43,https://raw.githubusercontent.com/nullclaw/nullclaw/HEAD/README.md,30ce290fef7eb1d72dd13261475b15cad93a21b7b3f632600cbe0d2e3afad487,,
1172,InternLM/lmdeploy,https://github.com/InternLM/lmdeploy,8083,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1173,LibrePhotos/librephotos,https://github.com/LibrePhotos/librephotos,8077,范围不优先：通用软件,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1174,mattpocock/sandcastle,https://github.com/mattpocock/sandcastle,8072,待README核验,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,逐项阅读缓存的仓库名称与完整简介,candidate,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T11:00:17.974226+00:00,False,团队可建立统一的隔离执行和审查管线，把 agent 修改交回 Git。,AFK 默认可能绕过宿主审批，需明确配置；不保证合并安全。,README L11-17、permission options,https://raw.githubusercontent.com/mattpocock/sandcastle/HEAD/README.md,58b7c86f35c751be485d993fe0728a40ca7a543df92d46b3da499a3506b981a0,,
1175,deepseek-ai/open-infra-index,https://github.com/deepseek-ai/open-infra-index,8065,范围不优先：研究训练,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
1176,datawhalechina/Agent-Learning-Hub,https://github.com/datawhalechina/Agent-Learning-Hub,8061,需去重核验,已有kngwyc3/Agent-Learning-Hub条目说明基于Datawhale路线，需要核对源项目与衍生内容避免重复。,逐项阅读缓存的仓库名称与完整简介,secondary,官方 README 定位、功能和边界段落；全文另存，未安装实测,2026-09-21T11:00:17.974228+00:00,False,学习路线和资源索引，与现有工程课程重叠。,不是团队平台，未逐一验证外链。,README L3-5、学习清单,https://raw.githubusercontent.com/datawhalechina/Agent-Learning-Hub/HEAD/README.md,0a2a4329a547a54462ab2f5a13525e8233901588486e57b0afadde18097d20d6,,
1177,nadermx/backgroundremover,https://github.com/nadermx/backgroundremover,8061,范围不优先：个人工具,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,逐项阅读缓存的仓库名称与完整简介,metadata-only,,,False,,,,,,,
