id,repository,url,stars_snapshot,metadata_decision,source_status,review_stage,final_status,description_en,team_reason,limits_and_notes,tested
1556,uber/causalml,https://github.com/uber/causalml,6002,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1557,ZSeven-W/openpencil,https://github.com/ZSeven-W/openpencil,5991,需去重核验,candidate,deep-pass-001,保留待深核,An AI-native vector editor with collaborative editing and agent tools.,设计与研发可共同编辑画布，查看远端光标和冲突并交接设计。,设计与研发可共同编辑画布，查看远端光标和冲突并交接设计。 旧 TypeScript 编辑器已退役；赞助商能力不归本项目，Rust 产品仍开发中。,False
1558,a16z-infra/companion-app,https://github.com/a16z-infra/companion-app,5984,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
1559,kserve/kserve,https://github.com/kserve/kserve,5976,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1560,smol-ai/GodMode,https://github.com/smol-ai/GodMode,5975,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
1561,google/agents-cli,https://github.com/google/agents-cli,5968,待README核验,candidate,team-second-pass,工程组件另列,CLI tools and skills for deploying and governing agents on Google Cloud.,团队统一智能体部署、CI/CD、密钥和企业注册流程。,团队统一智能体部署、CI/CD、密钥和企业注册流程。 依赖 Google Cloud；为旧 Agent Starter Pack 指向的后继项目。,False
1562,kuafuai/DevOpsGPT,https://github.com/kuafuai/DevOpsGPT,5965,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1563,agent-infra/sandbox,https://github.com/agent-infra/sandbox,5964,待README核验,candidate,team-second-pass,工程组件另列,"A shared execution environment for browser, terminal, files, and agent tools.",工程团队复用统一智能体执行环境，便于调试和验证任务产物。,工程团队复用统一智能体执行环境，便于调试和验证任务产物。 组件共用一个容器文件系统，不是租户间隔离；云部署需私有端口边界。,False
1564,aiwaves-cn/agents,https://github.com/aiwaves-cn/agents,5964,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1565,volcano-sh/volcano,https://github.com/volcano-sh/volcano,5964,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
1566,browser-act/skills,https://github.com/browser-act/skills,5963,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1567,baserow/baserow,https://github.com/baserow/baserow,5961,待README核验,candidate,commercial-pass-001,工程组件另列,A no-code database and application platform with an AI assistant.,团队共建业务数据、内部应用与自动化，通过自然语言辅助搭建。,团队共建业务数据、内部应用与自动化，通过自然语言辅助搭建。 Premium/Enterprise 不在 MIT 核心范围；合规宣传未独立审计。,False
1568,ombharatiya/FAANG-Coding-Interview-Questions,https://github.com/ombharatiya/FAANG-Coding-Interview-Questions,5957,范围不优先：通用学习,metadata-only,,metadata-only,,,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,False
1569,kenn-io/agentsview,https://github.com/kenn-io/agentsview,5955,待README核验,candidate,deep-pass-001,保留待深核,Search agent sessions and track usage with optional shared dashboards.,团队可把成员本地会话推送到共享 PostgreSQL，集中查询和查看成本。,团队可把成员本地会话推送到共享 PostgreSQL，集中查询和查看成本。 默认本地；README 跟随 main，发布版能力需看变更日志。,False
1570,tw93/Kaku,https://github.com/tw93/Kaku,5955,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
1571,clusterzx/paperless-ai,https://github.com/clusterzx/paperless-ai,5950,待README核验,not-priority,,not-priority,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1572,lucidrains/x-transformers,https://github.com/lucidrains/x-transformers,5948,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1573,tensorchord/Awesome-LLMOps,https://github.com/tensorchord/Awesome-LLMOps,5943,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1574,gorgonia/gorgonia,https://github.com/gorgonia/gorgonia,5929,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1575,sooperset/mcp-atlassian,https://github.com/sooperset/mcp-atlassian,5924,待README核验,candidate,team-second-pass,工程组件另列,Connect AI assistants to Jira and Confluence through MCP.,团队把工单和知识文档接入智能体，覆盖云端与自建 Atlassian。,团队把工单和知识文档接入智能体，覆盖云端与自建 Atlassian。 非 Atlassian 官方产品；具体工具权限依认证配置，未实测。,False
1576,chainer/chainer,https://github.com/chainer/chainer,5919,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1577,dmlc/gluon-cv,https://github.com/dmlc/gluon-cv,5915,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1578,loopx-project/loopx,https://github.com/loopx-project/loopx,5909,待README核验,candidate,team-second-pass,团队直接性不足,"Persist goals, evidence, and handoffs across long-running agent workflows.",团队保留任务目标、人工关口与证据，便于恢复和交接。,团队保留任务目标、人工关口与证据，便于恢复和交接。 不是自主生产控制器；跨主机共享目标协调仍孵化中。,False
1579,fengshao1227/ccg-workflow,https://github.com/fengshao1227/ccg-workflow,5907,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1580,Countly/countly-server,https://github.com/Countly/countly-server,5906,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1581,21st-dev/magic-mcp,https://github.com/21st-dev/magic-mcp,5903,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1582,antfu/skills,https://github.com/antfu/skills,5902,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1583,Michael-A-Kuykendall/shimmy,https://github.com/Michael-A-Kuykendall/shimmy,5899,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1584,amagine-ai/Amagine3D,https://github.com/amagine-ai/Amagine3D,5892,范围不优先：垂直领域,metadata-only,,metadata-only,,,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,False
1585,liyupi/mianshiya,https://github.com/liyupi/mianshiya,5890,范围不优先：通用学习,metadata-only,,metadata-only,,,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,False
1586,amazon-science/chronos-forecasting,https://github.com/amazon-science/chronos-forecasting,5886,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1587,ModelEngine-Group/nexent,https://github.com/ModelEngine-Group/nexent,5876,待README核验,candidate,team-second-pass,建议审阅,A no-code agent platform with multi-tenancy and role-based access.,团队共用工具、技能和记忆，同时按租户与角色管理资源。,团队共用工具、技能和记忆，同时按租户与角色管理资源。 生产级为项目定位，权限隔离和高可用未实测。,False
1588,vllm-project/semantic-router,https://github.com/vllm-project/semantic-router,5876,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1589,bilibili/ailab,https://github.com/bilibili/ailab,5873,待README核验,not-priority,,not-priority,,,bilibili/ailab无简介，需要README确定实际项目内容。,False
1590,aiogram/aiogram,https://github.com/aiogram/aiogram,5866,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
1591,youssefHosni/Data-Science-Interview-Questions-Answers,https://github.com/youssefHosni/Data-Science-Interview-Questions-Answers,5861,范围不优先：通用学习,metadata-only,,metadata-only,,,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,False
1592,internet-court/internet-court-skill,https://github.com/internet-court/internet-court-skill,5860,范围不优先：垂直领域,metadata-only,,metadata-only,,,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,False
1593,truefoundry/trueforge,https://github.com/truefoundry/trueforge,5857,待README核验,candidate,deep-pass-001,商业或许可边界待核,"An agent runtime with tools, approvals, persistent sessions, and embeddable UI.",团队可共享托管运行环境，并集中配置工具和人工检查点。,团队可共享托管运行环境，并集中配置工具和人工检查点。 local 默认无登录仅适合本机；沙箱当前依赖 Daytona，其他提供者计划中。,False
1594,SamuelSchmidgall/AgentLaboratory,https://github.com/SamuelSchmidgall/AgentLaboratory,5856,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1595,inngest/inngest,https://github.com/inngest/inngest,5855,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1596,oomol-lab/open-connector,https://github.com/oomol-lab/open-connector,5842,待README核验,candidate,team-second-pass,工程组件另列,"A connector gateway for agent tools, account authorization, and execution logs.",平台团队统一管理业务系统连接、权限范围和调用记录。,平台团队统一管理业务系统连接、权限范围和调用记录。 自建需自行管理 OAuth 应用和存储；第三方服务权益不由仓库许可授予。,False
1597,AgentOps-AI/agentops,https://github.com/AgentOps-AI/agentops,5833,待README核验,candidate,team-second-pass,团队直接性不足,"Observe agent execution, debug runs, and track model costs.",研发与运维团队复用执行轨迹和成本视图排查智能体问题。,研发与运维团队复用执行轨迹和成本视图排查智能体问题。 评估和调试还有独立路线图，不能将计划项全写成已实现。,False
1598,ghuntley/how-to-build-a-coding-agent,https://github.com/ghuntley/how-to-build-a-coding-agent,5833,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1599,Giskard-AI/giskard-oss,https://github.com/Giskard-AI/giskard-oss,5831,待README核验,candidate,deep-pass-001,团队直接性不足,Generate tests and evaluate agent vulnerabilities and RAG quality.,团队统一构建多轮测试与知识库质量评估，支撑发布检查。,团队统一构建多轮测试与知识库质量评估，支撑发布检查。 v2 不再积极维护；传统表格 ML 扫描仍仅 v2，不能归到 v3。,False
1600,ruby-concurrency/concurrent-ruby,https://github.com/ruby-concurrency/concurrent-ruby,5829,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
1601,rllm-org/rllm,https://github.com/rllm-org/rllm,5828,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1602,tvytlx/ai-agent-deep-dive,https://github.com/tvytlx/ai-agent-deep-dive,5827,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1603,vercel-labs/open-agents,https://github.com/vercel-labs/open-agents,5823,待README核验,candidate,team-second-pass,团队直接性不足,A reference application for background coding agents with sandbox and GitHub integration.,研发团队可参考云端任务、会话与代码改动交付的完整架构。,研发团队可参考云端任务、会话与代码改动交付的完整架构。 需 fork 适配并依赖 Vercel，不是已验证的通用多人产品。,False
1604,andrewyng/translation-agent,https://github.com/andrewyng/translation-agent,5813,待README核验,secondary,,secondary,,,translation-agent无简介，需核验后再判断是否有团队文档处理工作流。,False
1605,Klavis-AI/klavis,https://github.com/Klavis-AI/klavis,5807,待README核验,candidate,deep-pass-001,工程组件另列,MCP integrations and connectors with OAuth support.,团队开发智能体时复用业务系统授权和连接层。,团队开发智能体时复用业务系统授权和连接层。 训练沙箱与业务连接器是不同方案，云端服务不等于全部可自建。,False
1606,aidlearning/AidLearning-FrameWork,https://github.com/aidlearning/AidLearning-FrameWork,5802,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1607,generalaction/emdash,https://github.com/generalaction/emdash,5789,待README核验,candidate,team-second-pass,团队直接性不足,Run coding agents in isolated worktrees and review their changes.,研发团队从工单启动任务，在同一界面检查差异、PR 和 CI。,研发团队从工单启动任务，在同一界面检查差异、PR 和 CI。 桌面工作台；并行智能体不代表多人同时编辑。,False
1608,laylavish/uBlockOrigin-HUGE-AI-Blocklist,https://github.com/laylavish/uBlockOrigin-HUGE-AI-Blocklist,5786,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
1609,PySpur-Dev/pyspur,https://github.com/PySpur-Dev/pyspur,5785,待README核验,candidate,deep-pass-001,保留待深核,"Visually build, test, and debug agent workflows with human checkpoints.",工程团队维护测试案例、检查步骤结果，并在持久流程中等待人工审批。,工程团队维护测试案例、检查步骤结果，并在持久流程中等待人工审批。 自改进仍 Coming soon；10 倍效率为项目宣传未实测。,False
1610,jihe520/MathModelAgent,https://github.com/jihe520/MathModelAgent,5783,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1611,areal-project/AReaL,https://github.com/areal-project/AReaL,5781,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1612,Eventual-Inc/Daft,https://github.com/Eventual-Inc/Daft,5779,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
1613,mindcraft-bots/mindcraft,https://github.com/mindcraft-bots/mindcraft,5776,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
1614,coleam00/ottomator-agents,https://github.com/coleam00/ottomator-agents,5772,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1615,lauragift21/awesome-learning-resources,https://github.com/lauragift21/awesome-learning-resources,5770,范围不优先：通用学习,metadata-only,,metadata-only,,,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,False
1616,santinic/how2,https://github.com/santinic/how2,5770,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
1617,NVIDIA/DALI,https://github.com/NVIDIA/DALI,5759,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1618,memovai/mimiclaw,https://github.com/memovai/mimiclaw,5757,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1619,Coding-Solo/godot-mcp,https://github.com/Coding-Solo/godot-mcp,5756,待README核验,candidate,team-second-pass,工程组件另列,Connect coding agents to Godot projects and debugging tools.,游戏研发团队让智能体读取运行反馈并辅助场景修改与排错。,游戏研发团队让智能体读取运行反馈并辅助场景修改与排错。 Godot 专项连接器，不提供独立团队权限。,False
1620,HKUDS/AI-Researcher,https://github.com/HKUDS/AI-Researcher,5753,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1621,lemonade-sdk/lemonade,https://github.com/lemonade-sdk/lemonade,5753,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1622,pytorch/torchtitan,https://github.com/pytorch/torchtitan,5753,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1623,fastai/courses,https://github.com/fastai/courses,5747,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1624,coze-dev/coze-loop,https://github.com/coze-dev/coze-loop,5742,待README核验,candidate,team-second-pass,建议审阅,"Manage prompts, evaluations, and traces for AI agents.",开发与运营团队共用提示版本、评估集和运行证据。,开发与运营团队共用提示版本、评估集和运行证据。 开源版提供核心模块，不能默认等同商业版全部能力。,False
1625,google-deepmind/gemma,https://github.com/google-deepmind/gemma,5740,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1626,jeffheaton/t81_558_deep_learning,https://github.com/jeffheaton/t81_558_deep_learning,5734,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1627,potpie-ai/potpie,https://github.com/potpie-ai/potpie,5731,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
1628,dnhkng/GLaDOS,https://github.com/dnhkng/GLaDOS,5725,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
1629,gpustack/gpustack,https://github.com/gpustack/gpustack,5722,待README核验,candidate,commercial-pass-001,团队直接性不足,Manage GPU clusters and model-serving infrastructure.,IT 与研发团队统一分配 GPU、提供模型服务并管理用户访问和用量。,IT 与研发团队统一分配 GPU、提供模型服务并管理用户访问和用量。 GPU 拓扑视图标为 Enterprise；引擎与模型兼容及性能未实测。,False
1630,0xNyk/awesome-hermes-agent,https://github.com/0xNyk/awesome-hermes-agent,5715,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1631,agentscope-ai/agentscope-java,https://github.com/agentscope-ai/agentscope-java,5712,需去重核验,candidate,team-second-pass,工程组件另列,A Java framework for persistent agents with tool approvals and distributed execution.,Java 团队复用审批、会话和分布式运行抽象，统一智能体工程实践。,Java 团队复用审批、会话和分布式运行抽象，统一智能体工程实践。 AgentScope Service 控制面和外部 Agent Evolution 不能全部算进 Java 库。,False
1632,ageerle/ruoyi-ai,https://github.com/ageerle/ruoyi-ai,5711,待README核验,candidate,commercial-pass-001,团队直接性不足,A full-stack AI platform with knowledge retrieval and visual workflows.,业务与研发共同维护模型、知识库和含人工审核的业务流程。,业务与研发共同维护模型、知识库和含人工审核的业务流程。 前端和管理端另仓；商业版独立，未核验具体 RBAC。,False
1633,mlpack/mlpack,https://github.com/mlpack/mlpack,5710,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1634,XiaoDuoYa/codex-with-chatgpt,https://github.com/XiaoDuoYa/codex-with-chatgpt,5706,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
1635,biolab/orange3,https://github.com/biolab/orange3,5704,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1636,OpenBMB/UltraRAG,https://github.com/OpenBMB/UltraRAG,5702,待README核验,candidate,team-second-pass,工程组件另列,Build and debug RAG pipelines with MCP components and visual orchestration.,团队共享 YAML 管道、提示和依赖锁文件，协作调试知识应用。,团队共享 YAML 管道、提示和依赖锁文件，协作调试知识应用。 定位研究探索和工业原型，不等于成品多人知识系统。,False
1637,dograh-hq/dograh,https://github.com/dograh-hq/dograh,5701,待README核验,candidate,team-second-pass,团队直接性不足,A self-hostable voice-agent platform with visual workflows and MCP editing.,客服开发团队共同维护话术流程，通过回放和草稿修改迭代语音助手。,客服开发团队共同维护话术流程，通过回放和草稿修改迭代语音助手。 语音和电话服务需配置；未核验多人权限，效果未实测。,False
1638,Gen-Verse/OpenClaw-RL,https://github.com/Gen-Verse/OpenClaw-RL,5693,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1639,alexlenail/NN-SVG,https://github.com/alexlenail/NN-SVG,5689,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1640,kgateway-dev/kgateway,https://github.com/kgateway-dev/kgateway,5687,待README核验,not-priority,,not-priority,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1641,huggingface/alignment-handbook,https://github.com/huggingface/alignment-handbook,5680,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1642,antiwork/shortest,https://github.com/antiwork/shortest,5676,待README核验,candidate,team-second-pass,团队直接性不足,Write natural-language end-to-end tests backed by AI and Playwright.,开发与测试团队用自然语言维护端到端场景和浏览器验证流程。,开发与测试团队用自然语言维护端到端场景和浏览器验证流程。 框架需要外部服务；开发环境 SSO 说明不等于产品团队权限。,False
1643,OpenSenseNova/SenseNova-Skills,https://github.com/OpenSenseNova/SenseNova-Skills,5671,待README核验,candidate,team-second-pass,方法技能另列,"Reusable office skills for research, documents, and project coordination.",共享项目、工作项和版本产物，并记录进度与下一步建议。,共享项目、工作项和版本产物，并记录进度与下一步建议。 技能套件和 Raccoon 商业产品分开，企业安全不直接归给技能。,False
1644,Fanghua-Yu/SUPIR,https://github.com/Fanghua-Yu/SUPIR,5665,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1645,epoko77-ai/im-not-ai,https://github.com/epoko77-ai/im-not-ai,5651,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
1646,nextai-translator/bob-plugin-openai-translator,https://github.com/nextai-translator/bob-plugin-openai-translator,5651,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
1647,agentscope-ai/AgentTeams,https://github.com/agentscope-ai/AgentTeams,5650,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
1648,baichuan-inc/Baichuan-7B,https://github.com/baichuan-inc/Baichuan-7B,5649,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1649,qodo-ai/qodo-cover,https://github.com/qodo-ai/qodo-cover,5649,待README核验,not-priority,,not-priority,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1650,the-open-agent/openagent,https://github.com/the-open-agent/openagent,5635,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
1651,vercel/streamdown,https://github.com/vercel/streamdown,5633,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
1652,thuquant/awesome-quant,https://github.com/thuquant/awesome-quant,5632,范围不优先：垂直领域,metadata-only,,metadata-only,,,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,False
1653,facebookresearch/mmf,https://github.com/facebookresearch/mmf,5631,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1654,lucidrains/DALLE-pytorch,https://github.com/lucidrains/DALLE-pytorch,5625,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1655,cloudflare/agents,https://github.com/cloudflare/agents,5610,待README核验,candidate,team-second-pass,工程组件另列,Build stateful agents with real-time synchronization and durable workflows.,工程团队复用持久会话、前端状态同步和人工审批构建 AI 应用。,工程团队复用持久会话、前端状态同步和人工审批构建 AI 应用。 依赖 Cloudflare 平台；不是开箱即用真人团队工作区。,False
1656,wiltodelta/remove-ai-watermarks,https://github.com/wiltodelta/remove-ai-watermarks,5610,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
1657,alexeygrigorev/ai-engineering-field-guide,https://github.com/alexeygrigorev/ai-engineering-field-guide,5608,待README核验,secondary,,secondary,,,从团队招聘与工程能力评估角度核验，区别于求职者刷题笔记。,False
1658,Ne0nd0g/merlin,https://github.com/Ne0nd0g/merlin,5607,范围不优先：通用软件,metadata-only,,metadata-only,,,主要为通用软件或基础设施，AI检索命中未体现足够具体的团队AI工作场景。,False
1659,apache/maka,https://github.com/apache/maka,5606,已收录,metadata-only,,metadata-only,,,与现有清单的项目或官方入口对应，避免重复收录。,False
1660,spotify/basic-pitch,https://github.com/spotify/basic-pitch,5604,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
1661,koharu-rs/koharu,https://github.com/koharu-rs/koharu,5603,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
1662,zenml-io/zenml,https://github.com/zenml-io/zenml,5588,待README核验,candidate,commercial-pass-001,保留待深核,Track and operationalize ML pipelines and agent workflows across infrastructure stacks.,AI 工程团队共享运行指标、代码版本和环境，并复用现有基础设施。,AI 工程团队共享运行指标、代码版本和环境，并复用现有基础设施。 ZenML Pro 另列；不把企业支持全部归为 Apache 核心。,False
1663,phodal/understand-prompt,https://github.com/phodal/understand-prompt,5585,范围不优先：通用学习,metadata-only,,metadata-only,,,主要为通用编程、基础机器学习或课程资料，简介未明确团队AI工程实践。,False
1664,GargantuaX/gemini-watermark-remover,https://github.com/GargantuaX/gemini-watermark-remover,5584,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
1665,larashero3-dotcom/lieflat-charts,https://github.com/larashero3-dotcom/lieflat-charts,5584,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
1666,Galaxy-Dawn/claude-scholar,https://github.com/Galaxy-Dawn/claude-scholar,5582,范围不优先：垂直领域,metadata-only,,metadata-only,,,主要聚焦特定领域的模型、研究或个人应用；本轮未扩展该专业领域分类。,False
1667,modstart-lib/aigcpanel,https://github.com/modstart-lib/aigcpanel,5568,范围不优先：个人工具,metadata-only,,metadata-only,,,主要服务个人体验、单点内容生成或个人工具优化，简介未体现共同工作、交接或组织复用机制。,False
1668,BitterSecurity/Decepticon,https://github.com/BitterSecurity/Decepticon,5564,待README核验,secondary,,secondary,,,简介显示团队工作或AI应用工程的潜在用途，需继续检查官方README和能力边界。,False
1669,keras-rl/keras-rl,https://github.com/keras-rl/keras-rl,5548,范围不优先：研究训练,metadata-only,,metadata-only,,,主要定位为模型、训练、推理底层、算法研究或研究基准；本轮优先团队工作与应用交付。,False
