rank,id,repository,name,url,decision,decision_reason,description_en,team_reason,tags,limitations,source_evidence,stars_snapshot,live_checked_at,live_stars,live_archived,live_pushed_at,root_license,readme_url,readme_sha256,license_url,license_sha256,tested,live_errors
55,1832,ag2ai/ag2,AG2,https://github.com/ag2ai/ag2,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,A protocol-driven framework for cooperating agents and human checkpoints.,工程团队统一代理通信、注册和审计轨迹，构建可追踪任务流程。,"agents, framework",经典 autogen 命名空间已迁至 ag2-classic，不能沿用旧类/API 描述。,README L46–54、308：1.0 新框架、Network/Hub 与审计。,4942,,,,,,,,,,False,
56,1881,SeldonIO/seldon-core,Seldon Core,https://github.com/SeldonIO/seldon-core,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,Deploy and scale modular AI systems on Kubernetes.,平台团队统一模型服务、管道与共享推理资源。,"mlops, model-serving",Business Source License，不按历史 Apache 印象描述；商业使用需核对条款。,README L11、38–40、53：Core 2、自动扩展和多模型服务。,4781,,,,,,,,,,False,
57,1905,awslabs/aidlc-workflows,AI-DLC Workflows,https://github.com/awslabs/aidlc-workflows,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,Structured software delivery workflows with human gates and persistent evidence.,团队跨编码工具复用交付流程、审批门槛、知识与审计记录。,"engineering, workflows",工作流体系，不是独立多人 SaaS，审计数量不代表质量保证。,README L3–6、97–104：宿主无关核心、证据及团队知识。,4728,,,,,,,,,,False,
58,1920,callstack/agent-device,agent-device,https://github.com/callstack/agent-device,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Automate running apps and capture verification evidence for coding agents.,移动开发与 QA 共享执行反馈和测试证据，并协调并行任务的设备访问。,"testing, mobile-development",补充已有测试套件；各平台依赖与能力不同。,README L16–22、140、176：设备、远端云、脚本与 Maestro 导出。,4696,,,,,,,,,,False,
59,1921,FailproofAI/failproofai,Failproof AI,https://github.com/FailproofAI/failproofai,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,Observe agent sessions and enforce shared tool policies across harnesses.,团队把策略提交版本库，在不同代理工具中保留统一会话与审计线索。,"governance, observability",拦截能力因宿主而异，SDK 需额外 hook；MIT 加 Commons Clause，企业自建托管层另计。,README L17–41、186、229–236、274：策略、宿主能力与托管层。,4691,,,,,,,,,,False,
60,1928,remotion-dev/skills,Remotion Agent Skills,https://github.com/remotion-dev/skills,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,Official skills for building videos and compositions with Remotion.,内容与研发团队共享视频代码、版式和动画制作规范。,"skills, video",技能仓库不替代 Remotion 运行时及其单独许可。,README L5–7、23–41：官方最佳实践、创建与 markup。,4669,,,,,,,,,,False,
61,1975,dmno-dev/varlock,Varlock,https://github.com/dmno-dev/varlock,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Define environment schemas and manage secrets for AI-assisted development.,团队共享配置结构和校验规则，智能体可理解配置而无需直接读取值。,"security, configuration",不保证任何使用路径都不泄漏；需正确集成与配置。,README L17–26、47：schema、扫描、运行时脱敏和秘密后端。,4564,,,,,,,,,,False,
62,1982,freescout-help-desk/freescout,FreeScout,https://github.com/freescout-help-desk/freescout,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,A self-hosted shared inbox with an optional AI integration.,客服团队集中分派和处理客户对话，在现有共享邮箱中接入 AI。,"customer-support, teams",AI 是独立模块，本次未核验模块功能或费用；不能称核心内置全部 AI。,README L9、34–41：shared inbox、坐席和 AiIntegration 链接。,4544,,,,,,,,,,False,
63,1994,ruvnet/RuVector,RuVector,https://github.com/ruvnet/RuVector,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Persistent vector and graph memory with provenance and feedback controls.,工程团队为代理保留项目记忆、反馈和可追溯记录，按需接入共享服务。,"memory, infrastructure",部分统一记忆管理仍仅内存，跨类型整合未完成；Shared Brain 为可选托管层。,README L13–15、114–133、260–278：本地存储、类型层与共享平面。,4505,,,,,,,,,,False,
64,2034,modelscope/ms-agent,MS-Agent,https://github.com/modelscope/ms-agent,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,A modular runtime for long-running agents and reusable workflows.,工程团队跨 CLI、TUI 和 WebUI 复用逻辑，通过 hooks 接入规则、审批和结果检查。,"agents, workflows",早期 AgentFabric 新闻不能作为当前默认能力证明；Agent Hub 远端同步可选。,README L37–39、60、155、210：共享 SDK、Agent Hub 与许可。,4391,,,,,,,,,,False,
65,2115,nolabs-ai/nono,nono,https://github.com/nolabs-ai/nono,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Apply composable sandbox policies to coding agents.,团队共享可审查的文件、网络、凭据和工具策略，统一代理运行边界。,"sandbox, governance",尚未 1.0；旧命名空间迁至 nolabs-ai，零延迟等宣传未实测。,README L33–46、120：发布前状态、配置继承与共享。,4150,,,,,,,,,,False,
66,2155,dagucloud/dagu,Dagu,https://github.com/dagucloud/dagu,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"A workflow engine for scripts, human tasks, and AI execution steps.",运维团队共享 YAML 流程、运行历史与人工任务，将模型或编码代理接入日常自动化。,"automation, operations",SSO、RBAC、审计等需 self-host 许可，不能因功能表而归免费社区版。,README L18–20、205–217、599–600：引擎、许可和 AI 步骤。,4040,,,,,,,,,,False,
67,2181,yifanfeng97/Hyper-Extract,Hyper-Extract,https://github.com/yifanfeng97/Hyper-Extract,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Extract structured knowledge with source tracking and incremental updates.,团队把文档编译成可追踪知识结构，更新来源并导出可共享笔记。,"knowledge, documents",CLI 组件，不是多人权限服务；领域模板不代表专业准确性验证。,README L157–166、217：多引擎、YAML 模板、溯源及 Obsidian。,3983,,,,,,,,,,False,
68,2199,sourcebot-dev/sourcebot,Sourcebot,https://github.com/sourcebot-dev/sourcebot,保留待深核,有进一步审阅价值；本批未完成当前状态与许可补查，保留后续处理。,A self-hosted code search and question-answering tool with citations.,开发团队跨仓库查询代码、追踪引用并共享可核对的理解依据。,"code-intelligence, knowledge",需配置索引、模型与认证；未核验细粒度仓库权限继承。,README L39–42、Ask Sourcebot、Code Navigation：代码检索和引用。,3946,,,,,,,,,,False,
69,2198,lemony-ai/cascadeflow,CascadeFlow,https://github.com/lemony-ai/cascadeflow,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Optimize agent execution with per-step model decisions and budget controls.,平台团队把预算、质量策略和决策轨迹统一放入代理运行循环。,"llmops, governance",非 HTTP 网关；节省比例和延迟为项目基准，未复现。,README L38–45、68、861：进程内策略、预算与审计。,3946,,,,,,,,,,False,
70,2208,UsefulSoftwareCo/executor,Executor,https://github.com/UsefulSoftwareCo/executor,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,A shared integration catalog with authentication and per-tool policies.,团队统一工具连接和凭据配置，为不同代理设置允许、审批或禁止策略。,"integrations, governance",共享工具不等于完整组织 RBAC；云、桌面和自托管有不同部署边界。,README L5–7、19–40：集成层、共享目录与策略。,3925,,,,,,,,,,False,
71,2215,unclebob/swarm-forge,SwarmForge,https://github.com/unclebob/swarm-forge,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,Coordinate coding agents with durable handoffs and review gates.,工程团队可检查分支交付、审批和澄清记录，接续不同代理完成的工作。,"engineering, handoff",main 是共享运行时和入口，不能直接当可运行产品；需选产品分支。,README L7–26、189–191：worktree、持久交接与产品分支。,3905,,,,,,,,,,False,
72,2258,Atmosphere/atmosphere,Atmosphere,https://github.com/Atmosphere/atmosphere,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"Serve JVM agents with streaming, durable approvals, and execution policies.",工程团队统一代理服务的重连、审批、成本和按租户观察能力。,"java, governance",事件驱动框架非托管平台，计算调度由宿主负责；适配器能力不同。,README L21、27–38、160：服务层、持久 HITL 与范围声明。,3815,,,,,,,,,,False,
73,2268,TracecatHQ/tracecat,Tracecat,https://github.com/TracecatHQ/tracecat,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,Automate security cases and agent workflows with reusable integrations.,安全团队共用事件、流程、工具和审计日志，协调 AI 辅助响应。,"security, teams, ai-native",多租户与细粒度访问属 Enterprise；不能全算社区版。,README L24–43、70–89：案件、流程及版本边界。,3806,,,,,,,,,,False,
74,2523,Ataraxy-Labs/sem,sem,https://github.com/Ataraxy-Labs/sem,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"Inspect Git changes at the level of functions, classes, and methods.",团队评审实体级差异，并可用共享图和代理监听辅助讨论变更。,"code-review, engineering",共享团队图属可选云层；登录本身不上传，非全部能力本地。,README L35–39、360–392：语义 diff、云同意与评审。,3357,,,,,,,,,,False,
75,2607,koderover/zadig,Zadig,https://github.com/koderover/zadig,保留待深核,有进一步审阅价值；本批未完成当前状态与许可补查，保留后续处理。,"A DevOps platform with AI-assisted review, release analysis, and workflows.",研发、QA 与运维共用环境和模板，把 AI 检查与发布审批接入交付流程。,"devops, teams",根文档未细分所有版本功能；风险评估不替代发布验证。,README L39–41、56、65–85：AI 能力、共享环境和审批。,3243,,,,,,,,,,False,
76,2609,determined-ai/determined,Determined,https://github.com/determined-ai/determined,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"Coordinate deep-learning training, experiments, and compute resources.",ML 团队共享训练资源和实验记录，复现模型迭代。,"mlops, experiments",平台需要适配训练代码，未核验企业版治理差异。,README L3–10、20–26：训练、调参、资源和追踪。,3239,,,,,,,,,,False,
77,2616,liaohch3/claude-tap,claude-tap,https://github.com/liaohch3/claude-tap,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,Inspect agent API traces and export portable session reports.,工程团队用请求差异和工具记录定位代理行为，并共享 HTML 证据。,"observability, debugging",记录可能包含提示及业务上下文；非组织权限平台，未执行抓取。,README L12、21、63–65：本地代理、上下文检查和导出。,3223,,,,,,,,,,False,
78,2670,DingTalk-Real-AI/dingtalk-workspace-cli,DingTalk Workspace CLI,https://github.com/DingTalk-Real-AI/dingtalk-workspace-cli,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Access DingTalk workplace services from scripts and AI agents.,团队统一文档、审批、待办和组织数据接口，按企业授权复用自动化。,"integrations, teams",共创阶段，需管理员授权；认证/审计绝对性宣传未实测。,README L3、22、377、536、800–817：企业服务和事件。,3149,,,,,,,,,,False,
79,2672,Forward-Future/loopy,Loop Library and Loopy,https://github.com/Forward-Future/loopy,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"Reusable agent loops with checks, stopping conditions, and review workflows.",团队共享任务执行规范，明确检查、停止和交回人工的条件。,"skills, workflows",网站目录和可选技能不同；模板不授予自动执行或外发权限。,README L3–22、63–65、168–174：目录与配套技能。,3147,,,,,,,,,,False,
80,2702,SciSharp/BotSharp,BotSharp,https://github.com/SciSharp/BotSharp,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,A .NET framework for integrating AI agents into business applications.,企业开发团队复用代理状态、评估、审计和消息渠道实现。,"dotnet, agents",框架不是完整组织后台，模型清单示例较早，未验证全部接入。,README L15–17、23–31：模块化接口、UI 与代理流程。,3104,,,,,,,,,,False,
81,2716,spiceai/spiceai,Spice.ai,https://github.com/spiceai/spiceai,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"A SQL, search, and inference runtime for data-grounded AI applications.",平台团队统一数据连接、检索与模型接口，为业务应用提供共享上下文。,"data, ai-native, infrastructure",性能与零生产负担宣传未实测；连接器、推理模型依赖分别配置。,README L27、37–46：数据副本、连接器、MCP 和访问控制。,3086,,,,,,,,,,False,
82,2722,robert-mcdermott/ai-knowledge-graph,AI Knowledge Graph Generator,https://github.com/robert-mcdermott/ai-knowledge-graph,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,Extract sourced relationships and export interactive knowledge graphs.,团队将资料关系转成可共享 HTML 和结构化图数据，按来源检查抽取结果。,"knowledge, visualization",推理边不等同源文事实；单机工具，无独立多人管理。,README L5–6、18–25：来源句、推理标记与导出。,3082,,,,,,,,,,False,
83,2762,ascending-llc/jarvis-registry,Jarvis Registry,https://github.com/ascending-llc/jarvis-registry,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Govern enterprise MCP tools and A2A agents through a shared gateway.,团队统一工具发现、身份、细粒度 ACL 与请求审计。,"mcp, governance",衍生于 mcp-gateway-registry，独立企业扩展；权限效果未实测。,README L17–29、101：网关能力与上游归属。,3030,,,,,,,,,,False,
84,2900,microsoft/ResearchStudio,ResearchStudio,https://github.com/microsoft/ResearchStudio,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,Skills for research ideation and publication deliverables.,研究团队共享研究方向、观点记录和论文配套海报、视频等产物流程。,"research, skills",技能套件，未证明端到端科学结论有效；pptx2video 另仓。,README L13–14、18–45、52–53：Idea/Reel 与来源保留。,2884,,,,,,,,,,False,
85,2898,confident-ai/deepteam,DeepTeam,https://github.com/confident-ai/deepteam,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,Red-team LLM applications with configurable attacks and evaluations.,安全与 AI 团队共享风险场景、评估标准和回归检查。,"security, evaluation",团队托管报告在 Confident AI；本地运行不等于所用模型都离线。,README L42–49、61、85–94：框架、攻击与团队报告。,2884,,,,,,,,,,False,
86,2922,slowmist/openclaw-security-practice-guide,OpenClaw Security Practice Guide,https://github.com/slowmist/openclaw-security-practice-guide,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,Operational guidance for controlling and auditing high-privilege agents.,团队可建立工具安装审查、敏感操作确认和审计记录约定。,"security, practices",仅针对特定场景，v2.8 脚本 Beta；指南不保证安全，未执行部署脚本。,README L15–33、51–53、103–104：威胁模型、三阶段控制和脚本。,2858,,,,,,,,,,False,
87,2924,software-mansion/argent,Argent,https://github.com/software-mansion/argent,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,Control apps and record verification flows for AI-assisted development.,开发与 QA 共享确定性复现、视觉差异和性能诊断证据。,"testing, mobile-development",源码 Apache，但若干平台二进制专有且限制再分发；遥测默认开启可退出。,完整 README L8、18–23、33–37：交互、流程、分析和许可。,2857,,,,,,,,,,False,
88,2955,teaql/teaql-agent-kit,TeaQL Agent Kit,https://github.com/teaql/teaql-agent-kit,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Model-driven workflows and typed boundaries for agentic software development.,团队先审可执行领域模型，再验证并生成统一 API 与审计契约。,"engineering, governance",核心模式与可运行示例分仓；结构检查不保证完整业务正确性。,README L5–15、24–39、293–304：确定性模型检查和运行时治理。,2812,,,,,,,,,,False,
89,2988,compozy/compozy,CompozyOS,https://github.com/compozy/compozy,保留待深核,有进一步审阅价值；本批未完成当前状态与许可补查，保留后续处理。,"Create, automate, and supervise persistent agent workflows.",技术团队集中保存审批、产物和运行事件，复用定时或事件驱动流程。,"ai-native, workflows",v0.3 Beta，v0.2 仅关键修复；不把旧版功能直接混入。,README L25–34、42–51、110：运行环境和监督。,2769,,,,,,,,,,False,
90,3079,humanlayer/advanced-context-engineering-for-coding-agents,Advanced Context Engineering,https://github.com/humanlayer/advanced-context-engineering-for-coding-agents,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,A research-plan-implement approach to maintaining context and team alignment.,团队把代码研究、实现计划和验证记录作为共享审阅产物，保持对变更的共同理解。,"practices, context",方法文章而非工具；作者明确不适用所有问题，性能及生产力案例未独立验证。,官方 ace-fca.md：Frequent Intentional Compaction、Research/Plan/Implement、What is code review for。,2650,,,,,,,,,,False,
91,3122,Observal/Observal,Observal,https://github.com/Observal/Observal,建议审阅,已有明确的真人团队使用证据；补查官方资料后进入用户审阅短名单。,"Discover, review, and observe internal AI components.",组织集中注册技能、代理和 MCP，审核版本并用使用反馈改善共享资产。,"teams, governance",会话分析涉及组织数据，实际采集边界与隔离未实测。,README L47–69、171–175、239：目录、反馈、Apache 内 SSO/SCIM。,2600,2026-09-21T16:23:12.582819+00:00,2850,False,2026-09-20T22:08:35Z,Apache-2.0,https://github.com/Observal/Observal/blob/main/README.md,51ca5a0f9f62ec69b1ced07f84433427d6fb2685429ccea2ad0bbac8ba42ad55,https://github.com/Observal/Observal/blob/main/LICENSE,cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30,False,
92,3148,Agent-Field/agentfield,AgentField,https://github.com/Agent-Field/agentfield,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Operate agents as APIs with durable execution and governance.,平台团队统一路由、记忆、追踪和人工审批，将代理作为可管理服务。,"agents, governance",万人规模和生产就绪为项目宣称未复现；安装还可能设置自启动。,README L27、162、257–266、340：控制面、HITL 和身份。,2571,,,,,,,,,,False,
93,3165,agentclientprotocol/claude-agent-acp,Claude Agent ACP Adapter,https://github.com/agentclientprotocol/claude-agent-acp,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Use Claude Agent SDK through ACP-compatible clients.,工具团队统一编辑器接入，保留工具审批、审阅和会话恢复交互。,"protocol, development",协议适配层，不是独立模型或组织平台；扩展支持依客户端。,完整 README L5–22：适配器和许可扩展。,2553,,,,,,,,,,False,
94,3322,FrancyJGLisboa/agent-skills-platform,Agent Skills Platform,https://github.com/FrancyJGLisboa/agent-skills-platform,建议审阅,已有明确的真人团队使用证据；补查官方资料后进入用户审阅短名单。,Package and review reusable skills for a governed team marketplace.,组织为技能分配责任人、审批、版本和验证证据，让同事统一安装复用。,"skills, teams, governance",报告接收者不等于技能安装者；测试记录不代表所有宿主均可靠。,README L19–37、46–54、98–107：工作流转技能与团队治理。,2401,2026-09-21T16:23:12.594883+00:00,2401,False,2026-09-15T17:31:46Z,MIT,https://github.com/FrancyJGLisboa/agent-skills-platform/blob/main/README.md,1dae847df972c4cc136088708ab5eff0911ec6f1f4f2500650980c93622ff03d,https://github.com/FrancyJGLisboa/agent-skills-platform/blob/main/LICENSE,130901e9ff46d221b1e53b41c335cfcfedb21bb58b22acad4aaca241222616c3,False,
95,3331,apify/agent-skills,Apify Agent Skills,https://github.com/apify/agent-skills,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,Official skills for building and using web-data Actors.,数据与自动化团队共享采集、Actor 开发和输出 schema 规范。,"skills, data",技能不等于托管算力和数据服务免费；未测试所有 Actor。,README L36–41：Actor 选择、构建和封装。,2393,,,,,,,,,,False,
96,3345,DeepInsight-AI/DeepBI,DeepBI,https://github.com/DeepInsight-AI/DeepBI,保留待深核,有进一步审阅价值；本批未完成当前状态与许可补查，保留后续处理。,Explore data and build reusable queries and dashboards through conversation.,业务与数据团队共享持久查询和可视化，减少反复手工分析。,"ai-native, analytics",自动分析报告仍待开发；未核验权限或所有数据源兼容。,README L5、36–40：会话分析、持久查询和仪表盘。,2383,,,,,,,,,,False,
97,3464,GoogleChrome/modern-web-guidance,Modern Web Guidance,https://github.com/GoogleChrome/modern-web-guidance,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,Browser-platform guidance for AI coding agents.,前端团队共享现代 API、兼容和回退原则，减少过时代码。,"skills, web-development",预览内容，不能代替目标浏览器测试或完整可访问性审核。,README L7–12、40–43：Chrome/Edge 支持与 preview。,2280,,,,,,,,,,False,
98,3508,moorcheh-ai/memanto,Memanto,https://github.com/moorcheh-ai/memanto,保留待深核,有进一步审阅价值；本批未完成当前状态与许可补查，保留后续处理。,Manage persistent agent memories with provenance and expiration policies.,团队代理共享可追踪经验，检查冲突、过时信息和来源。,"memory, provenance",过期记忆仍可带标记召回，不等于删除；模型判断和访问治理未实测。,README L10–11、49–52、85、117–125：记忆管理与审计。,2258,,,,,,,,,,False,
99,3531,tractorjuice/arc-kit,ArcKit,https://github.com/tractorjuice/arc-kit,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"Structure architecture strategy, design reviews, and governance artifacts.",架构、产品和交付团队共享需求、ADR、供应商分析及评审流程。,"architecture, governance",领域政策模板非法律/合规认证，本次仅核验范围未逐项查法规。,README L13–27：利益相关方、需求、RFP 和设计审查。,2240,,,,,,,,,,False,
100,3535,tensorchord/envd,envd,https://github.com/tensorchord/envd,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Define reproducible development environments for AI and ML.,团队共享环境声明和 OCI 镜像，减少依赖差异与入职配置成本。,"mlops, development",容器开发环境非高强度安全沙箱，云集群需配置。,README L20–24、50–70、90：环境、镜像和团队复用。,2232,,,,,,,,,,False,
101,3534,shadcn-ui/lint,shadcn Lint,https://github.com/shadcn-ui/lint,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,Validate design-system rules with actionable feedback for agents.,设计与前端团队把组件和主题约束写成可共享 lint 规则。,"design, code-quality",静态检查不保证整体 UX 或可访问性；不要求使用 shadcn/ui。,README L3–13、197：agent-first、Tailwind v4 和共用配置。,2232,,,,,,,,,,False,
102,3555,rcortx/kiwiq,KiwiQ,https://github.com/rcortx/kiwiq,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Define agent workflows with human reviews and versioned business data.,工程与营销团队共用工作流、审批和客户文档，追踪执行状态。,"workflows, business",SDK-first 非可视化构建器；多个存储/消息服务需部署，生产规模未复现。,README L5、16–25、231：图 schema、HITL 和数据。,2220,,,,,,,,,,False,
103,3678,theagentrouter/agent-router,Agent Router,https://github.com/theagentrouter/agent-router,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Centralize model and MCP traffic with Envoy-backed policies.,平台团队统一凭据、配额、路由、故障切换与使用归属。,"gateway, governance",原 Envoy AI Gateway，同一项目别名去重；不等于业务端多人应用。,README L25、29–36：网关及改名。,2121,,,,,,,,,,False,
104,3702,neuron-core/neuron-ai,Neuron AI,https://github.com/neuron-core/neuron-ai,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,Build PHP agents with stateful workflows and human checkpoints.,PHP 团队复用模型、工具、监控和审批机制，连接现有业务应用。,"php, agents",框架非独立组织平台，长期维护与可靠性承诺未验证。,README L14–16、25–34：生命周期、工作流和人审。,2102,,,,,,,,,,False,
105,3740,appeeky/aso-skills,ASO and App Marketing Skills,https://github.com/appeeky/aso-skills,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,Research app-store visibility and marketing with agent workflows.,增长团队共享关键词、竞品、素材和上线检查方法。,"skills, marketing",依赖 Appeeky API，独立桌面软件不全在技能仓；评分不保证增长。,README L18–20、38、82–123：角色受众和数据来源。,2075,,,,,,,,,,False,
106,3743,maxritter/pilot-shell,Pilot Shell,https://github.com/maxritter/pilot-shell,商业或许可边界待核,需厘清版本、许可或托管服务边界；保留候选，不直接排除。,"Add project knowledge, review surfaces, and quality gates to coding agents.",团队可通过 Git 共享规则与经验，复查计划、差异和运行证据。,"engineering, review",安装会配置多项依赖/hooks；含许可证激活机制，不能笼统视作免费开源工具。,README L7–8、53、178、245–249：人审控制台与可选团队共享。,2074,,,,,,,,,,False,
107,3871,openakita/openakita,OpenAkita,https://github.com/openakita/openakita,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,"A self-hosted AI assistant platform with agent orchestration, messaging integrations, and plugins.",可将自动化代理接入飞书、企微、钉钉等团队工作入口，复用知识和审批流程。,"ai-native, automation, chatops",AI 公司指代理组织，不证明真人组织 RBAC；沙箱安全效果未实测，源码 AGPL 品牌另有条件。,README 组织编排、分层黑板、外部工具审批、IM 连接器及插件权限。,1986,,,,,,,,,,False,
108,3891,vercel-labs/lat.md,lat.md,https://github.com/vercel-labs/lat.md,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,A Markdown knowledge graph and CLI for maintaining codebase context and design decisions.,让研发团队共享设计理由、代码关联和测试规格，并通过检查避免文档漂移。,"ai-native, knowledge-management, developer-tools",检查引用一致性不等于证明实现正确或测试充分；仓库级工作流组件。,README 双向代码链接、lat check、知识保留和语义变更审阅。,1976,,,,,,,,,,False,
109,3928,bergside/typeui,TypeUI,https://github.com/bergside/typeui,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,"Design skills, prompts, and MCP integrations for AI-assisted interface development.",设计研发团队可共享设计系统、布局指导和界面生成规范。,"ai-native, design, skills, mcp",MIT 声明针对 CLI 与公开 registry，不代表所有托管资源免费或可自托管。,README 跨编码助手插件、托管 MCP、设计资源和公开 registry。,1953,,,,,,,,,,False,
110,3939,feathr-ai/feathr,Feathr,https://github.com/feathr-ai/feathr,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,"A data and feature engineering platform for registering, sharing, and serving ML features.",数据团队共享特征变换和训练数据，复用注册定义与在线服务。,"mlops, feature-store, data-engineering",需要底层数据基础设施；生产使用年限为项目自述而非本次核验。,README 明确跨团队共享变换、时间点正确的 join、物化和部署。,1941,,,,,,,,,,False,
111,3976,yetone/native-feel-skill,Native Feel Skill,https://github.com/yetone/native-feel-skill,方法技能另列,团队价值主要来自共享流程、规范或技能；单列实践资料，不优先作为多人产品。,An agent skill for designing and auditing native-feeling cross-platform desktop apps.,桌面研发团队可共享架构原则、WebView 指引和交付审查清单。,"ai-native, skills, desktop, design",基于第三方技术分析与逆向观察，不是 Raycast 官方规范；性能效果未测。,README 八项架构原则、四层架构和发布审计。,1911,,,,,,,,,,False,
112,3977,CoderGamester/mcp-unity,MCP Unity Editor,https://github.com/CoderGamester/mcp-unity,工程组件另列,团队价值主要通过集成或部署实现；适合工程组件栏目。,An MCP bridge for querying and manipulating Unity projects from AI coding assistants.,游戏研发团队可共享项目级 MCP 配置，让助手读取场景和执行编辑器操作。,"ai-native, mcp, game-development",需 Unity/Node 环境；协作潜力不等于同时多人编辑。,README 场景工具与可提交 Git 的相对路径团队配置。,1910,,,,,,,,,,False,
113,3996,Syngnat/GoNavi,GoNavi,https://github.com/Syngnat/GoNavi,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,"A database client with MCP integration, query tooling, and audit features.",数据研发团队可给助手结构化数据库上下文，并复用查询审计与导出流程。,"mcp, database, developer-tools",桌面为主，Web Server 标为实验；含数据库写工具，未执行。,README MCP-ready、多数据源、SQL 日志和脱敏审计中心。,1902,,,,,,,,,,False,
114,4042,zakirkun/guardian-cli,Guardian CLI,https://github.com/zakirkun/guardian-cli,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,"An AI-assisted security assessment framework with workflows, evidence capture, and approval gates.",安全团队可统一评估流程、工具证据和代理动作审计。,"ai-native, security, audit",实时多操作者协作仍在路线图；没有运行扫描或攻击。,README 安全工作流、侵入操作确认和审计日志。,1880,,,,,,,,,,False,
115,4053,Zoo-Code-Org/Zoo-Code,Zoo Code,https://github.com/Zoo-Code-Org/Zoo-Code,团队直接性不足,现有证据主要是个人工具、产物交接或代理编排；暂不优先作为真人协作产品。,An AI coding extension continuing Roo Code with customizable modes and command guards.,研发团队可共享定制模式和编码流程。,"ai-native, coding, ide",独立延续项目而非原团队官方新产品；拦截效果未实测。,README 明确社区延续 Roo、团队 Custom Modes 与危险命令拦截。,1876,,,,,,,,,,False,
