rank,id,repository,name,url,decision,decision_reason,description_en,team_reason,tags,limitations,evidence,stars_snapshot,live_checked_at,live_stars,live_archived,live_pushed_at,root_license,readme_url,readme_sha256,license_url,license_sha256,tested
48,1091,backnotprop/plannotator,Plannotator,https://github.com/backnotprop/plannotator,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"A review surface for annotating agent plans, documents, HTML, and code diffs and returning feedback.",成员先审计划与产物，再把批注交给智能体执行；可收集同事对同一计划的反馈。,"review, human-in-the-loop, collaboration",开源异步链接分享正在转入 deprecated support，Workspaces 为主要托管协作路径；URL fragment 内容不加密。,README L40-66、团队分享 L169-197,8833,,,,,,,,,,False
49,2492,skyhook-io/radar,Radar,https://github.com/skyhook-io/radar,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,Explore Kubernetes resources and expose cluster context to AI agents.,运维团队共用 RBAC 限定的集群视图，向代理提供拓扑和审计上下文。,"kubernetes, operations",需配置认证和网络边界；命名空间缓存范围与权限过滤不是同一概念。,README L10、55、127–134、442：共享部署、权限与 MCP。,3403,,,,,,,,,,False
50,5651,thClaws/thClaws,thClaws,https://github.com/thClaws/thClaws,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,A native agent workspace with local execution and enterprise policy controls.,团队可配置组织策略、模型网关与工具审计。,"ai-native, coding, governance",版本段落不一致；升级会迁移项目路径，文件工具隔离不等于shell全隔离。,README signed policy、OIDC、allow-list与bot独立目录。,1224,,,,,,,,,,False
51,617,HKUDS/DeepCode,DeepCode,https://github.com/HKUDS/DeepCode,方法技能另列,主要是技能、方法、模板或学习资料，适合实践栏目，不作为多人产品优先推荐。,"An agent coding workbench with durable task records, reusable project skills, and reviewable execution evidence.",团队把开发约定封装为技能，任务关联批准、测试与产物，便于成员审查和接手。,"coding, skills, traceability",多个 UI 共用本地服务不等于多人账号系统；不按早期论文复现工具印象描述当前产品。,README sessions/skills、L578、L691、L710-719,16602,,,,,,,,,,False
52,1071,iflytek/astron-agent,Astron Agent,https://github.com/iflytek/astron-agent,工程组件另列,主要是工程集成、SDK、运行时或基础设施，适合组件栏目，不作为即用团队产品优先推荐。,"An agent-workflow platform combining models, MCP tools, RPA, and team-oriented application development.",业务与研发在同一平台编排跨系统工作流，复用模型和工具，把 AI 分析接到实际操作。,"workflow, low-code, integration",不采纳高可用或稳定性绝对保证；外部模型与平台工具需另配授权。,README What is Astron Agent、Key Features,9017,,,,,,,,,,False
53,1324,lintsinghua/DeepAudit,DeepAudit,https://github.com/lintsinghua/DeepAudit,工程组件另列,主要是工程集成、SDK、运行时或基础设施，适合组件栏目，不作为即用团队产品优先推荐。,An agent-based code auditing platform with sandbox verification.,安全团队集中导入项目、检查审计日志并交接报告。,"security, code-review",列举的主要 CVE 成果标为闭源版本，不能归给开源版。,README L68–81、170–177：项目管理、沙箱验证及报告。,7056,,,,,,,,,,False
54,1593,truefoundry/trueforge,TrueForge,https://github.com/truefoundry/trueforge,商业或许可边界待核,团队用途有价值，但许可证、企业版、托管服务或版本边界需要先确认。,"An agent runtime with tools, approvals, persistent sessions, and embeddable UI.",团队可共享托管运行环境，并集中配置工具和人工检查点。,"agents, teams",local 默认无登录仅适合本机；沙箱当前依赖 Daytona，其他提供者计划中。,README L34–51、78–93：运行层、团队 hosted 模式与 OIDC。,5857,,,,,,,,,,False
55,5951,video-db/call.md,Call.md,https://github.com/video-db/call.md,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,A meeting capture and analysis app integrating live agent workflows.,团队成员可整理会前/中/后信息并接后续流程。,"ai-native, meetings, automation",录音/转写/AI内容发VideoDB，不是全本地会议工具；权限配置需确认。,README录音/转写/分析与MCP/webhooks。,1147,,,,,,,,,,False
56,3345,DeepInsight-AI/DeepBI,DeepBI,https://github.com/DeepInsight-AI/DeepBI,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,Explore data and build reusable queries and dashboards through conversation.,业务与数据团队共享持久查询和可视化，减少反复手工分析。,"ai-native, analytics",自动分析报告仍待开发；未核验权限或所有数据源兼容。,README L5、36–40：会话分析、持久查询和仪表盘。,2383,,,,,,,,,,False
57,5440,DropbaseHQ/dropbase,Dropbase,https://github.com/DropbaseHQ/dropbase,商业或许可边界待核,团队用途有价值，但许可证、企业版、托管服务或版本边界需要先确认。,An AI-assisted Python app builder for internal dashboards and operational tools.,团队可快速构建后台工具，并以可编辑代码和可分享应用目录交接。,"ai-native, internal-tools, app-builder",自托管不证明完整宽松许可；需审阅生成代码和数据连接，未部署。,README admin/billing/internal tools、拖拽组件与Python。,1285,,,,,,,,,,False
58,6485,tong-io/tongflow,TongFlow,https://github.com/tong-io/tongflow,商业或许可边界待核,团队用途有价值，但许可证、企业版、托管服务或版本边界需要先确认。,A multimodal workflow canvas for reusable creative transformations.,创意团队可在共享节点格式中交接并由代理生成可编辑流程。,"ai-native, multimodal, workflow",desktop是Cloud壳非离线版；AGPL/商业，插件需另装联网。,README文本图像音视频3D、registry/agenttools。,1022,,,,,,,,,,False
59,209,mindsdb/mindshub,MindsHub,https://github.com/mindsdb/mindshub,商业或许可边界待核,团队用途有价值，但许可证、企业版、托管服务或版本边界需要先确认。,"An agent workspace for creating and sharing internal apps, analyses, documents, and other work artifacts.",把 AI 生成的内部工具和分析发布成团队可访问 URL，支持自建平台统一运行。,"agents, artifacts, collaboration",superproject 为 MIT，但子模块各有许可；推理服务独立，不宣称所有托管能力均在源码中。,README L9、L32-36、L54、L121、L147,39760,,,,,,,,,,False
60,667,chenhg5/cc-connect,cc-connect,https://github.com/chenhg5/cc-connect,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,A messaging bridge for coding agents with project-specific sessions and privileged-user controls.,成员从飞书、钉钉、Slack 等工作频道调用项目智能体，管理员限制目录与 shell 等高权限命令。,"communication, coding, integration",不同平台能力不同，需按 support matrix 配置；群聊连接本地执行器不等于默认安全多租户。,README L245-266、admin_from L423-424、OS-user isolation,15584,,,,,,,,,,False
61,1061,LearningCircuit/local-deep-research,Local Deep Research (LearningCircuit),https://github.com/LearningCircuit/local-deep-research,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"A configurable research application with citations, searchable knowledge, and isolated per-user data.",组织可部署统一研究入口，同时把成员的数据与模型密钥分开保存，形成可复核报告。,"research, knowledge, self-hosted",与 langchain-ai/local-deep-researcher 不是同项目；未实测加密隔离，不引用自报准确率。,README 定位、per-user encrypted DB L162,9112,,,,,,,,,,False
62,1215,Azure-Samples/azure-search-openai-demo,Azure RAG Chat Sample,https://github.com/Azure-Samples/azure-search-openai-demo,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,An Azure reference application for cited question answering over organizational documents.,团队可参考员工福利与内部政策问答案例构建组织知识助手。,"templates, rag, knowledge",Azure 服务依赖和成本另计；示例不是完整企业产品。,README sample description、Features,7762,,,,,,,,,,False
63,1609,PySpur-Dev/pyspur,PySpur,https://github.com/PySpur-Dev/pyspur,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"Visually build, test, and debug agent workflows with human checkpoints.",工程团队维护测试案例、检查步骤结果，并在持久流程中等待人工审批。,"workflows, evaluation",自改进仍 Coming soon；10 倍效率为项目宣传未实测。,README L40–58、140：测试、可视化迭代与人工检查。,5785,,,,,,,,,,False
64,1786,tencentmusic/supersonic,SuperSonic,https://github.com/tencentmusic/supersonic,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,Combine conversational analytics with governed semantic data models.,分析工程师维护共用指标语义，业务成员据此问数和查看图表。,"analytics, teams",需先搭建语义模型；减少幻觉是设计目标，非正确率保证。,README L7–14、31–34：Chat BI、Headless BI 和角色分工。,5101,,,,,,,,,,False
65,2082,open-legal-products/mike,Mike,https://github.com/open-legal-products/mike,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"A legal document workspace for review, drafting, and research.",法务团队复用案件资料、文档库和表格式审查工作流，并连接现有协作工具。,"legal, documents",Word 插件 Beta；案例检索以美国 CourtListener 为例，专业结果需人工核验。,README L5–23、87：文档审查、项目、引用及 Slack 集成。,4254,,,,,,,,,,False
66,2292,pipeshub-ai/pipeshub-ai,PipesHub,https://github.com/pipeshub-ai/pipeshub-ai,商业或许可边界待核,团队用途有价值，但许可证、企业版、托管服务或版本边界需要先确认。,Permission-aware workplace search and agent context with source citations and enterprise connectors.,将 Slack、Drive、GitHub、Microsoft 365 等组织资料统一检索，并按用户源权限返回可引用答案。,"knowledge, search, mcp, self-hosted",按团队/角色/历史的个性化搜索仍在待办；是否出网取决于选择的模型供应商，不照搬绝不出网宣传。,README L75-89、L168-189、L253-257,3762,,,,,,,,,,False
67,2607,koderover/zadig,Zadig,https://github.com/koderover/zadig,工程组件另列,主要是工程集成、SDK、运行时或基础设施，适合组件栏目，不作为即用团队产品优先推荐。,"A DevOps platform with AI-assisted review, release analysis, and workflows.",研发、QA 与运维共用环境和模板，把 AI 检查与发布审批接入交付流程。,"devops, teams",根文档未细分所有版本功能；风险评估不替代发布验证。,README L39–41、56、65–85：AI 能力、共享环境和审批。,3243,,,,,,,,,,False
68,2623,Josh-XT/AGiXT,AGiXT,https://github.com/Josh-XT/AGiXT,工程组件另列,主要是工程集成、SDK、运行时或基础设施，适合组件栏目，不作为即用团队产品优先推荐。,An AI automation platform with integrations and multi-tenant support.,团队统一业务工具和模型接入，组合服务执行工作流。,"automation, teams",根文档概述，未核验合规宣称或细粒度企业功能。,完整 README L17–30：自动化、OAuth、多租户与实时集成。,3216,,,,,,,,,,False
69,2988,compozy/compozy,CompozyOS,https://github.com/compozy/compozy,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"Create, automate, and supervise persistent agent workflows.",技术团队集中保存审批、产物和运行事件，复用定时或事件驱动流程。,"ai-native, workflows",v0.3 Beta，v0.2 仅关键修复；不把旧版功能直接混入。,README L25–34、42–51、110：运行环境和监督。,2769,,,,,,,,,,False
70,3485,agno-agi/dash,Dash by Agno,https://github.com/agno-agi/dash,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,A data agent with scoped queries and workplace chat access.,业务团队通过 Slack 问数，开发者管理身份和只读 SQL 权限。,"analytics, teams",生产需 AgentOS JWT 验证；自学习效果未测，不同于 Plotly Dash。,README L3–5、201、223、354：数据上下文和生产 RBAC。,2268,,,,,,,,,,False
71,5462,gomate-community/TrustRAG,TrustRAG,https://github.com/gomate-community/TrustRAG,工程组件另列,主要是工程集成、SDK、运行时或基础设施，适合组件栏目，不作为即用团队产品优先推荐。,A configurable RAG framework with budgeted recursive research workflows.,知识工程团队可复用模块化检索与分层问题处理。,"rag, research, framework",trusted/reliable是目标而非保证；未见完整多人治理。,README modularRAG、子查询、token/depth停止条件。,1278,,,,,,,,,,False
72,5589,supavec/supavec,Supavec,https://github.com/supavec/supavec,工程组件另列,主要是工程集成、SDK、运行时或基础设施，适合组件栏目，不作为即用团队产品优先推荐。,"A RAG API platform with vector search, chat, and team-scoped data isolation.",团队可在统一后端管理检索问答数据。,"rag, api, multi-user",依赖Supabase/Upstash等；任意规模宣传未验证。,README RAG-as-service与team-level RLS。,1238,,,,,,,,,,False
73,5754,TrafficGuard/typedai,TypedAI,https://github.com/TrafficGuard/typedai,商业或许可边界待核,团队用途有价值，但许可证、企业版、托管服务或版本边界需要先确认。,"A TypeScript AI platform with coding agents, PR reviews, Slack, and multi-user deployment.",研发团队可共同使用AI工作流并接入GoogleCloudIAP身份。,"ai-native, typescript, collaboration",更多auth和infra scripts仍coming soon，需具体云部署。,README multi-user/SSO、PRreview和Slack bot。,1196,,,,,,,,,,False
74,6267,microsoft/Agents,Microsoft 365 Agents SDK,https://github.com/microsoft/Agents,商业或许可边界待核,团队用途有价值，但许可证、企业版、托管服务或版本边界需要先确认。,"SDK entry points for agents across Teams, Copilot, and custom channels.",团队可把自选AI服务嵌入员工使用的渠道。,"ai-native, sdk, microsoft-teams",此仓主要导航/样例，核心语言源码另仓；部分渠道需订阅。,README state/storage/activities与多channel。,1069,,,,,,,,,,False
75,6295,ongridio/ongrid,Ongrid,https://github.com/ongridio/ongrid,商业或许可边界待核,团队用途有价值，但许可证、企业版、托管服务或版本边界需要先确认。,"An operations agent combining observability, topology, and messaging workflows.",运维团队可从Slack/Telegram调查告警并通过写入门审批变更。,"ai-native, devops, incident-management",AGPL；自动根因/修复效果未验证，生产操作未执行。,README RCA、audit、edge和Approval Gate。,1064,,,,,,,,,,False
76,124,MemPalace/mempalace,MemPalace,https://github.com/MemPalace/mempalace,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"Persistent AI memory with verbatim storage, scoped retrieval, and an optional shared hub deployment.",可部署 shared-brain hub 让多个客户端接入，同步保留项目原文并按主题检索，减少重新传递上下文。,"memory, knowledge, self-hosted",未验证多人访问控制粒度；本地默认与远程嵌入选择分开，不能承诺所有配置不出网。,README L26-39、L48-63、L170-187、Storage backends,59179,,,,,,,,,,False
77,1220,HKUDS/OpenSpace,OpenSpace,https://github.com/HKUDS/OpenSpace,方法技能另列,主要是技能、方法、模板或学习资料，适合实践栏目，不作为多人产品优先推荐。,"A skill lifecycle platform with retrieval, evaluation, lineage, and reviewable sharing.",团队共享成功工作方法，并依据历史与质量信号复用技能。,"skills, knowledge, governance",效果评估非安全认证；需配置运行权限。,README L29-41、L206、hub,7714,,,,,,,,,,False
78,1557,ZSeven-W/openpencil,OpenPencil by ZSeven-W,https://github.com/ZSeven-W/openpencil,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,An AI-native vector editor with collaborative editing and agent tools.,设计与研发可共同编辑画布，查看远端光标和冲突并交接设计。,"ai-native, design, collaboration",旧 TypeScript 编辑器已退役；赞助商能力不归本项目，Rust 产品仍开发中。,README L142、426–430、526、671：P2P 协作、冲突与 Rust 版本。,5991,,,,,,,,,,False
79,1777,argilla-io/argilla,Argilla,https://github.com/argilla-io/argilla,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,Collect human feedback and collaboratively curate AI datasets.,AI 工程师与领域专家共同标注、反馈和迭代评估数据。,"data, collaboration",原作者不再增加新功能，但承诺按需修复和补丁；不能写成完全停维。,README L1–3、38、52：明确协作定位与维护说明。,5115,,,,,,,,,,False
80,2199,sourcebot-dev/sourcebot,Sourcebot,https://github.com/sourcebot-dev/sourcebot,工程组件另列,主要是工程集成、SDK、运行时或基础设施，适合组件栏目，不作为即用团队产品优先推荐。,A self-hosted code search and question-answering tool with citations.,开发团队跨仓库查询代码、追踪引用并共享可核对的理解依据。,"code-intelligence, knowledge",需配置索引、模型与认证；未核验细粒度仓库权限继承。,README L39–42、Ask Sourcebot、Code Navigation：代码检索和引用。,3946,,,,,,,,,,False
81,2784,deepnote/deepnote,Deepnote Open Source,https://github.com/deepnote/deepnote,商业或许可边界待核,团队用途有价值，但许可证、企业版、托管服务或版本边界需要先确认。,Local data notebooks with AI integration and version-friendly project files.,数据团队可用清晰 notebook 差异交接分析，再按需使用云端共同编辑。,"notebooks, data",同一 notebook 多人协作与更强算力属于 Deepnote Cloud，不全在开源核心。,README L26–35：本地开源、YAML 和 Cloud 分工。,3008,,,,,,,,,,False
82,3011,trustgraph-ai/trustgraph,TrustGraph,https://github.com/trustgraph-ai/trustgraph,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,Build and orchestrate shared knowledge context for AI applications.,平台团队把文档和系统数据组织为集合，按流程步骤控制检索范围。,"knowledge, infrastructure",共享上下文不保证确定性或无幻觉；权限与加密可验证性未实测。,README L21–25、110–127：超图、Hyperflows 与部署。,2736,,,,,,,,,,False
83,3219,samugit83/redamon,RedAmon,https://github.com/samugit83/redamon,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"Connect security findings to triage, code fixes, and reviewable pull requests.",安全与研发以共享发现图和修复 PR 交接问题，保留关键人工检查。,"security, engineering",限授权测试；基准、企业隔离和修复质量未复现，自动步骤仍须人工审核。,README L9、64–83、447：测试到修复的链路。,2494,,,,,,,,,,False
84,3457,jsbroks/coco-annotator,COCO Annotator,https://github.com/jsbroks/coco-annotator,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,Create and export image annotations for machine learning.,视觉团队共用网页标注与数据格式，准备可交接训练集。,"data-labeling, vision",高级企业工具 DataTorch 独立；未验证部署维护和多用户粒度。,README L37、75–94：标注、COCO 导出及功能。,2283,,,,,,,,,,False
85,3508,moorcheh-ai/memanto,Memanto,https://github.com/moorcheh-ai/memanto,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,Manage persistent agent memories with provenance and expiration policies.,团队代理共享可追踪经验，检查冲突、过时信息和来源。,"memory, provenance",过期记忆仍可带标记召回，不等于删除；模型判断和访问治理未实测。,README L10–11、49–52、85、117–125：记忆管理与审计。,2258,,,,,,,,,,False
86,3746,UniversalDataTool/universal-data-tool,Universal Data Tool,https://github.com/UniversalDataTool/universal-data-tool,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"Collaboratively annotate images, text, audio, and documents.",数据团队实时共同标注并用标准格式交接训练数据。,"data-labeling, collaboration",免注册分享不等于企业身份隔离；桌面/自建部署范围需确认。,README L26–39、55：多模态标注和实时协作。,2073,,,,,,,,,,False
87,4131,Datus-ai/Datus-agent,Datus,https://github.com/Datus-ai/Datus-agent,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,"A data engineering agent connecting warehouses, semantic layers, BI, and shared context.",数据工程师与分析师通过 CLI、聊天和 API 共享指标、SQL 与反馈知识。,"ai-native, data-engineering, analytics, knowledge-management",授权与沙箱效果未实测；需配置现有数据平台。,README 团队 PostgreSQL 上下文、Slack/飞书、SQL 授权和 OTLP。,1824,,,,,,,,,,False
88,4280,VertaAI/modeldb,ModelDB,https://github.com/VertaAI/modeldb,保留待深核,团队使用信号较强，保留到下一轮补查，不把当前 README 能力直接写成收录结论。,A system for versioning ML models and tracking experiment metadata.,模型团队共享实验报告并追踪代码、数据、配置及环境。,"mlops, experiment-tracking, model-registry",README 维护主体自述未另查；部署兼容性未实测。,README 可复现模型、实验管理、报告和审计。,1749,,,,,,,,,,False
89,4670,Haidra-Org/AI-Horde,AI Horde,https://github.com/Haidra-Org/AI-Horde,商业或许可边界待核,团队用途有价值，但许可证、企业版、托管服务或版本边界需要先确认。,A distributed inference middleware for shared image and text generation compute.,团队可私有部署，汇聚可动态加入的推理资源。,"inference, distributed-computing, ai-infrastructure",公共服务依志愿算力，非 SLA；公共 kudos 与私有部署分开，AGPL。,README 分布式 workers、文本/图像及 private enterprise deployment。,1573,,,,,,,,,,False
90,4822,fossasia/voxbento,Voxbento,https://github.com/fossasia/voxbento,工程组件另列,主要是工程集成、SDK、运行时或基础设施，适合组件栏目，不作为即用团队产品优先推荐。,A live-event interpretation platform with interpreter coordination and background transcription.,活动团队可协调同传席位、交接和聊天，并结合转写为参会者提供内容。,"events, collaboration, speech-to-text",主体为真人同传平台，AI 是辅助转写；不应标全自动翻译系统。,README WebRTC 音频、WebSocket booth coordination，架构列 Deepgram/OpenAI/Local 转写。,1502,,,,,,,,,,False
91,4900,ghostwright/phantom,Phantom,https://github.com/ghostwright/phantom,团队直接性不足,当前证据更偏个人工具、代理编排或产物交接，暂不优先作为真人团队产品。,A persistent AI coworker running on its own machine with Slack and web access.,团队可通过 Slack 请求工作，并共享报告、仪表盘和内部工具。,"ai-native, chatops, automation",高度自主可执行基础设施操作；自述案例非实测，公开 URL 仍需配置认证。,README 独立机器、standup、共享 URL 与定期报告。,1471,,,,,,,,,,False
92,6133,tomasz-tomczyk/crit,Crit,https://github.com/tomasz-tomczyk/crit,团队直接性不足,当前证据更偏个人工具、代理编排或产物交接，暂不优先作为真人团队产品。,"A local review interface for plans, diffs, and web artifacts with agent feedback.",团队可精确评论交付物，并通过分享/拉取形成反馈。,"ai-native, human-in-the-loop, code-review",部分示例绕过权限，需按宿主配置；共享服务独立。,README plan/diff/liveUI、share和SSO代理配置。,1102,,,,,,,,,,False
93,6556,pathintegral-institute/mcpm.sh,MCPM,https://github.com/pathintegral-institute/mcpm.sh,工程组件另列,主要是工程集成、SDK、运行时或基础设施，适合组件栏目，不作为即用团队产品优先推荐。,A CLI for managing MCP servers through shared configurations and profiles.,团队可复用配置、发现工具并减少跨客户端重复安装。,"mcp, configuration, developer-tools",公开隧道需认证范围控制；演示视频仍v1旧命令。,READMEglobalconfig、profiles、share tunnels。,1006,,,,,,,,,,False
94,6580,sematic-ai/sematic,Sematic,https://github.com/sematic-ai/sematic,工程组件另列,主要是工程集成、SDK、运行时或基础设施，适合组件栏目，不作为即用团队产品优先推荐。,A Python ML pipeline platform with reproducible execution and collaboration metadata.,ML团队可共用类型化管线、注释、运行图和重跑。,"mlops, pipelines, collaboration",需部署环境，复现依数据/依赖固定。,README本地/VM/K8s、cache/retry与metadata。,1002,,,,,,,,,,False
95,827,assistant-ui/assistant-ui,assistant-ui,https://github.com/assistant-ui/assistant-ui,团队直接性不足,当前证据更偏个人工具、代理编排或产物交接，暂不优先作为真人团队产品。,Composable React chat components with tool rendering and inline human approval interfaces.,工程团队复用一致 AI 交互组件，将需要人工确认的工具动作清楚呈现在业务界面。,"ui, development, human-in-the-loop",前端库不提供组织治理后端，审批安全需后端执行。,README What you get L69-71,12227,,,,,,,,,,False
96,2409,unitycatalog/unitycatalog,Unity Catalog,https://github.com/unitycatalog/unitycatalog,商业或许可边界待核,团队用途有价值，但许可证、企业版、托管服务或版本边界需要先确认。,"An open catalog for data, functions, and AI model assets.",数据与 AI 团队统一发现和治理表、文件、函数及模型，跨计算引擎复用。,"data, governance",开源实现不能等同同名商业云服务全部能力；Linux Foundation sandbox 项目。,README L7–12：资产类型、OpenAPI 与统一治理。,3530,,,,,,,,,,False
97,5348,apecloud/ApeRAG,ApeRAG,https://github.com/apecloud/ApeRAG,商业或许可边界待核,团队用途有价值，但许可证、企业版、托管服务或版本边界需要先确认。,"A RAG platform with hybrid indexes, multimodal ingestion, agents, and management tools.",知识团队可集中维护文档、检索图和代理，并保留审计。,"ai-native, rag, knowledge-management",生产级为自述；底层服务需部署，局部MIT指依赖不是主项目Apache许可。,README 五种索引、MinerU、MCP、模型管理与日志。,1317,,,,,,,,,,False
98,6204,StreetLamb/tribe,Tribe,https://github.com/StreetLamb/tribe,团队直接性不足,当前证据更偏个人工具、代理编排或产物交接，暂不优先作为真人团队产品。,A low-code multi-agent builder with user tenancy and tool-approval checkpoints.,团队可共用平台构建流程并审批工具调用。,"ai-native, low-code, multi-user",team概念也用于代理组，隔离效果未测。,READMEMulti-Tenancy、public API与HITL。,1084,,,,,,,,,,False
99,6401,octos-org/octos,Octos,https://github.com/octos-org/octos,团队直接性不足,当前证据更偏个人工具、代理编排或产物交接，暂不优先作为真人团队产品。,"An embeddable Rust agent kernel with a protocol for sessions, tools, and approvals.",平台团队可为自有UI提供一致runtime和人工控制入口。,"ai-native, agent-runtime, rust",应用仍负责界面/授权，kernel不等于完整团队产品。,READMEOUP、sessionhydrate、permissions和events。,1041,,,,,,,,,,False
100,903,alibaba/spring-ai-alibaba,Spring AI Alibaba,https://github.com/alibaba/spring-ai-alibaba,工程组件另列,主要是工程集成、SDK、运行时或基础设施，适合组件栏目，不作为即用团队产品优先推荐。,"A Java agent framework and workflow runtime with persistence, human intervention, and application-management tooling.",Java 团队在现有 Spring 栈中构建长任务，接入人工反馈、可视化评估和 MCP 管理。,"framework, java, workflow",Admin、框架和 runtime 是不同组成，不把多智能体编排等同真人组织协作。,README Architecture L27-31、Core Features,10893,,,,,,,,,,False
101,2090,kubeflow/pipelines,Kubeflow Pipelines,https://github.com/kubeflow/pipelines,团队直接性不足,当前证据更偏个人工具、代理编排或产物交接，暂不优先作为真人团队产品。,Build reusable ML workflows and manage experiments on Kubernetes.,ML 团队共用组件、管道和实验服务，复用端到端训练交付流程。,"mlops, workflows",是 Kubeflow 组件，不等于完整平台；版本依赖需按兼容矩阵选。,README L11–23：可复用工作流、实验管理及独立部署。,4222,,,,,,,,,,False
102,2234,dromara/liteflow,LiteFlow,https://github.com/dromara/liteflow,方法技能另列,主要是技能、方法、模板或学习资料，适合实践栏目，不作为多人产品优先推荐。,Orchestrate business rules and AI agents through composable workflows.,Java 团队把代理作为业务节点与已有规则一起编排和维护。,"workflows, java",通用规则引擎的 AI 扩展，不是完整智能体或团队工作区。,README L12、16、25–30：2.16.0 起代理节点、规则和热更新。,3861,,,,,,,,,,False
103,2538,docker/docker-agent,Docker Agent,https://github.com/docker/docker-agent,团队直接性不足,当前证据更偏个人工具、代理编排或产物交接，暂不优先作为真人团队产品。,Define and share agent workflows with YAML and OCI packages.,团队版本管理代理配置，并通过现有镜像仓库分发一致工具与工作流。,"agents, distribution",代理团队不等于真人协作；Docker CLI 插件非自动安全边界。,README L3、11–13、34–40：声明式配置、工具和打包分享。,3338,,,,,,,,,,False
104,2699,WecomTeam/wecom-cli,WeCom CLI,https://github.com/WecomTeam/wecom-cli,商业或许可边界待核,团队用途有价值，但许可证、企业版、托管服务或版本边界需要先确认。,"Connect agents to WeCom documents, tasks, messages, and calendars.",团队复用现有企业文档、待办与会议数据，通过 CLI/技能统一自动化入口。,"integrations, teams",需企业微信账号及相应授权，外部消息或审批动作仍需业务许可。,完整 README L10–29、安装与 Agent Skills：业务范围和代理接入。,3114,,,,,,,,,,False
105,2948,UKGovernmentBEIS/inspect_ai,Inspect AI,https://github.com/UKGovernmentBEIS/inspect_ai,工程组件另列,主要是工程集成、SDK、运行时或基础设施，适合组件栏目，不作为即用团队产品优先推荐。,A framework for evaluating LLMs with tools and multi-turn tasks.,评估与研发团队共用可扩展任务、评分和基准组件。,"evaluation, research",基准框架非业务平台；预置任务数量与模型结果未重新测量。,完整 README L3–9：UK AI Security Institute 框架和评估。,2817,,,,,,,,,,False
106,3657,crshdn/mission-control,Autensa,https://github.com/crshdn/mission-control,团队直接性不足,当前证据更偏个人工具、代理编排或产物交接，暂不优先作为真人团队产品。,Organize product ideas and agent work into reviewed pull requests.,产品与工程团队审核计划、查看任务进度和构建经验，再接入 PR 流程。,"product, workflows",旧仓名 mission-control；自动改进宣传未验证，配置 GitHub 写权限需明确授权。,README L10、47–62、157、166：产品循环、独立会话和批准。,2139,,,,,,,,,,False
107,4122,microsoft/responsible-ai-toolbox,Responsible AI Toolbox,https://github.com/microsoft/responsible-ai-toolbox,团队直接性不足,当前证据更偏个人工具、代理编排或产物交接，暂不优先作为真人团队产品。,"Tools and dashboards for assessing model errors, fairness, explanations, and counterfactuals.",模型开发与业务团队可围绕统一评估视图审阅模型行为和群体差异。,"responsible-ai, evaluation, explainability",Tracker/GenBit 是关联仓库；评估界面不保证伦理或法规合规。,README dashboard 整合错误分析、公平性、可解释性和反事实分析。,1834,,,,,,,,,,False
108,5066,google/adk-js,Google ADK TypeScript,https://github.com/google/adk-js,工程组件另列,主要是工程集成、SDK、运行时或基础设施，适合组件栏目，不作为即用团队产品优先推荐。,A TypeScript toolkit for typed AI agents and orchestrated workflows.,JS 团队可复用代理逻辑、工具与多运行时接口。,"ai-native, typescript, agent-framework",语言版本功能需独立核验，不能直接套用 Python/Java 的完整功能。,README Node/browser、Zod、ESM/CJS 和编排。,1411,,,,,,,,,,False
