rank,id,repository,name,url,decision,decision_reason,description_en,team_reason,tags,limitations,source_evidence,stars_snapshot,live_checked_at,live_stars,live_archived,live_pushed_at,root_license,readme_url,readme_sha256,license_url,license_sha256,tested
53,4446,bubbuild/bub,Bub,https://github.com/bubbuild/bub,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,A small pluggable agent runtime for shared conversations and inspectable context.,明确面向多人和代理共处的群聊环境，保留可检查、回放及交接的记录。,"ai-native, collaboration, agent-runtime",小型 runtime，需要按渠道配置权限和业务能力。,README shared environments、multiple humans、append-only tape 与 Telegram。,1669,,,,,,,,,,False
54,5437,coollabsio/jean,Jean,https://github.com/coollabsio/jean,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,"A desktop coding-agent workspace with GitHub, Linear, and review workflows.",研发成员可围绕团队issue/PR调查和追踪审阅发现。,"ai-native, coding, project-management",本地客户端非多人编辑；Yolo模式与权限配置需区分。,README Linear team配置、GitHub面板、finding tracking与worktree。,1286,,,,,,,,,,False
55,5918,okou-ai/okou,Okou,https://github.com/okou-ai/okou,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,A team agent workspace with reusable workflows and per-user tool permissions.,成员把工作方法交给团队复用，执行仍用各自权限。,"ai-native, collaboration, automation",根README未详述许可/自托管范围，不能宣称全部免费开放。,README workspace ownership、Slack、drafts、granular permissions和audit。,1154,,,,,,,,,,False
56,6055,mateaix/mateclaw,MateClaw,https://github.com/mateaix/mateclaw,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"A multi-user agent platform with workspace boundaries, approvals, and audit trails.",组织可统一管理用户/工具/会话，并复核持续任务与交付。,"ai-native, collaboration, governance",原生/DSH不同runtime，数据会发配置服务；安全未实测。,README多用户、ToolGuard RBAC、审批、TeamRun与JSON验收。,1118,,,,,,,,,,False
57,6072,allenpeng0705/EnvoyMesh,EnvoyMesh,https://github.com/allenpeng0705/EnvoyMesh,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,A peer-to-peer human and agent network with opt-in team jobs and scoped identities.,团队可按签名名册/邀请连接代理并交接复合任务。,"ai-native, collaboration, agent-communication",安全效果未测；共享模型与个人历史隔离需部署核查。,READMEfleet onboarding、opt-in bonds、audit与成员数据隔离。,1114,,,,,,,,,,False
58,6110,EveryInc/proof-sdk,Proof SDK,https://github.com/EveryInc/proof-sdk,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,A collaborative Markdown editor and server with provenance and agent APIs.,成员与代理共同编辑、评论和提出修改，保留来源。,"ai-native, collaboration, editor, sdk",SDK与托管Proof分开，认证/生产部署需集成。,README editor/server、presence/events和agent bridge。,1106,,,,,,,,,,False
59,6452,melandlabs/openloomi,OpenLoomi,https://github.com/melandlabs/openloomi,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,"A desktop attention agent combining work context, reminders, and reviewable actions.",成员可追踪团队承诺、会议与跨工具决策，减少遗漏交接。,"ai-native, productivity, knowledge-management",主要个人桌面伙伴，不证明组织级共享权限。,READMEdecisioncards、Slack/Gmail/Notion知识与IM草稿。,1031,,,,,,,,,,False
60,44,nexu-io/open-design,OpenDesign,https://github.com/nexu-io/open-design,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,A design workspace that uses coding agents and reusable design-system files to produce prototypes and deliverable artifacts.,复用团队 DESIGN.md、模板和工作流，将原型或品牌调整交接为 HTML/PDF/PPTX 等产物。,"ai-native, design, handoff, self-hosted",以本地设计工作台为主，不声称多人实时编辑；云模型服务独立，调用模型可能联网。,README L32-36、L264-265、L490-491、L772,97310,,,,,,,,,,False
61,55,ChatGPTNextWeb/NextChat,NextChat Enterprise,https://github.com/ChatGPTNextWeb/NextChat,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,"An enterprise AI chat offering with centrally managed models, member permissions, and organizational knowledge access.",企业版由管理员配置模型资源、成员及知识库权限，并集中审计团队对话。,"chat, governance, knowledge",这些团队能力明确来自另售 Enterprise Edition，不能归到 MIT 社区仓库或宣称免费自建可用。,README Enterprise Edition L60-72,88794,,,,,,,,,,False
62,75,shareAI-lab/learn-claude-code,Learn Claude Code,https://github.com/shareAI-lab/learn-claude-code,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,"A step-by-step tutorial for building agent harnesses with permissions, memory, tasks, and workflow execution.",工程团队可以据此理解权限审批、任务依赖、持久调度和执行记录，减少自研 runtime 的沟通成本。,"learning, agents, development",第三方教学项目，不是 Anthropic 官方源码；模拟 Agent Teams 不代表真人协作产品。,README Harness 概念、目录 s03-s17、教学路线,77279,,,,,,,,,,False
63,130,twentyhq/twenty,Twenty,https://github.com/twentyhq/twenty,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"A customizable CRM with AI-assisted record queries, data enrichment, and permission-scoped workflow agents.",销售团队共享客户与商机数据，让智能体按对象读写权限生成摘要、分类线索并起草跟进邮件。,"crm, workflow, collaboration",未核验所有部署版本套餐差异；按文档说明权限，不声称实测已覆盖。,README Why Twenty、Everything you need；官方 AI 文档 Features 与 Permissions and Access Control,57169,,,,,,,,,,False
64,164,QuantumNous/new-api,New API,https://github.com/QuantumNous/new-api,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"A self-hosted model gateway for sharing authorized AI access and managing routing, permissions, usage, and costs.",集中管理成员分组、API key 权限和模型路由，团队客户端共用统一入口并查看费用与审计。,"gateway, governance, self-hosted",基于 One API 的独立衍生项目；上游模型服务需自行授权，不能把网关等同免费模型。,README L60-62、L129-131、License,48521,,,,,,,,,,False
65,194,luongnv89/claude-howto,Claude How To,https://github.com/luongnv89/claude-howto,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,Tutorials and reusable templates for adopting coding-agent workflows and shared project standards.,明确提供团队 onboarding、project-CLAUDE.md 和共享插件实践，用于统一成员使用规范。,"learning, onboarding, standards",第三方教程，未核验所有快速变化的宿主功能说明。,README L189、L348、L726-730,41610,,,,,,,,,,False
66,256,qdrant/qdrant,Qdrant,https://github.com/qdrant/qdrant,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"Vector retrieval infrastructure with filtering, multi-tenant partitioning, and operational observability.",AI 平台团队为共享应用提供语义检索层，按租户分区并监控查询服务。,"search, rag, infrastructure",不是企业知识助手；默认演示启动不带认证，租户分区不能替代应用授权设计。,README L22-28、L157-158、部署说明,34717,,,,,,,,,,False
67,562,arc53/DocsGPT,DocsGPT,https://github.com/arc53/DocsGPT,建议审阅,团队功能明确；已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"A private AI knowledge platform with document ingestion, agents, and team-scoped sharing controls.",团队把文档和会议资料整理成可检索知识，通过成员角色和团队范围共享给助手使用。,"knowledge, agents, collaboration, self-hosted",不采纳无幻觉和完全隐私保证；外部模型是否接收数据由配置决定。,README Key Features、已完成项 L59-62,18275,2026-09-21T16:15:10.816196+00:00,18282,False,2026-09-21T16:06:24Z,MIT,https://github.com/arc53/DocsGPT/blob/main/README.md,9716cbc38bac4485659fc113aa8cc9300bdb797e99d3528f29b3f86e4b20045a,https://github.com/arc53/DocsGPT/blob/main/LICENSE,7abadaa20d1ddc34acd6da4033b18a64a6a17728b1fad6899605767a986e1c2a,False
68,569,gastownhall/gastown,Gas Town,https://github.com/gastownhall/gastown,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,"A coding-agent workspace manager with persistent task state, handoffs, and verified merge queues.",工程团队可把长任务、交接记录和验收门槛留在 Git/Beads 中，管理多个智能体产出的集成。,"coding, workflow, handoff",主要智能体编排，不是多人账号平台；自动合并策略需按团队流程配置。,README Overview、Refinery L96、session discovery L108,18132,,,,,,,,,,False
69,610,MemoriLabs/Memori,Memori,https://github.com/MemoriLabs/Memori,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,Memory tooling that carries agent experience and project conventions across workflows.,将编码习惯、审查偏好和项目约定沉淀为共享上下文，辅助新成员理解团队经验。,"memory, knowledge, onboarding",当前快速开始走 Memori Cloud；Apache SDK 不表示托管后台全量开源自建。,README 定位、coding/team memory L181、Cloud/Enterprise,16866,,,,,,,,,,False
70,828,Untrivial-ai/agent-orchestrator,Agent Orchestrator (AO),https://github.com/Untrivial-ai/agent-orchestrator,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,"A coding-agent workspace that keeps tasks, isolated worktrees, CI, and review feedback together.",工程师统一监督多个任务的代码、测试和 PR 状态，将评审反馈回送原智能体，便于交接。,"coding, workflow, review",本地看板不是已核验多人权限平台；遥测包含项目所有者账号，不笼统称完全匿名。,README L16-18、L31-35、L58,12221,,,,,,,,,,False
71,955,astrid-runtime/astrid,Astrid,https://github.com/astrid-runtime/astrid,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,A capability-scoped runtime for sandboxed components and agent systems with durable state and audit records.,平台团队为智能体和工具划定独立权限、配额和状态空间，使授权不由模型自行扩大。,"sandbox, governance, infrastructure",当前用户态 runtime，不是可启动 OS 或完整业务产品；不保证绝无越权。,README L14-29、principals L271、audit chain,10279,,,,,,,,,,False
72,1091,backnotprop/plannotator,Plannotator,https://github.com/backnotprop/plannotator,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"A review surface for annotating agent plans, documents, HTML, and code diffs and returning feedback.",成员先审计划与产物，再把批注交给智能体执行；可收集同事对同一计划的反馈。,"review, human-in-the-loop, collaboration",开源异步链接分享正在转入 deprecated support，Workspaces 为主要托管协作路径；URL fragment 内容不加密。,README L40-66、团队分享 L169-197,8833,,,,,,,,,,False
73,1569,kenn-io/agentsview,agentsview,https://github.com/kenn-io/agentsview,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,Search agent sessions and track usage with optional shared dashboards.,团队可把成员本地会话推送到共享 PostgreSQL，集中查询和查看成本。,"observability, teams",默认本地；README 跟随 main，发布版能力需看变更日志。,README L3–8、567、604、727：本地归档与可选只读团队后端。,5955,,,,,,,,,,False
74,1687,alphaXiv/OpenResearch,OpenResearch,https://github.com/alphaXiv/OpenResearch,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,A local-first research workspace with experiment lineage and retained evidence.,研究团队可交接与提交绑定的实验、日志和产物，复现实验分支。,"research, experiments",远端服务无应用层认证，同机其他用户可访问；不是已验证多用户隔离。,README Built for research agents、Run anywhere：不可变提交归档和证据。,5465,,,,,,,,,,False
75,1809,dtyq/magic,Magic,https://github.com/dtyq/magic,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"An enterprise agent platform with shared projects, budgets, and human approvals.",多名成员共用项目、分工模块并查看进度，按部门和成员控制预算。,"ai-native, teams, governance",沙箱称 proprietary，具体开源版本覆盖需确认；零泄漏和百倍效率不采信。,README L48–53、94–102：组织知识、审批、预算和真人协作。,5037,,,,,,,,,,False
76,1823,campfirein/byterover-cli,ByteRover CLI,https://github.com/campfirein/byterover-cli,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,Version and curate agent context with optional team synchronization.,团队审查知识变更、分支合并上下文，并在成员间共享项目经验。,"memory, collaboration",默认本地，成员权限与共享空间由 Cloud 提供；Elastic License 2.0。,README L23、35–40、107–121：上下文版本和云团队空间。,4966,,,,,,,,,,False
77,1828,agentgateway/agentgateway,agentgateway,https://github.com/agentgateway/agentgateway,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"Govern model, tool, and agent traffic through a unified proxy.",平台团队统一预算、OAuth、RBAC 和调用追踪，管理跨应用 AI 接入。,"gateway, governance",网关基础设施，非完整业务工作区；与迁出 AI 能力的 kgateway 区分。,README L32、52–68：LLM/MCP/A2A 网关和细粒度策略。,4945,,,,,,,,,,False
78,2056,kirodotdev/Kiro,Kiro,https://github.com/kirodotdev/Kiro,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,An agentic development platform with specifications and organizational controls.,团队共享规格、项目规则与权限，通过组织身份和用量治理推广 AI 开发。,"coding, teams",该仓库是问题跟踪器，不含 Kiro 产品源码；各入口成熟度不同。,README L8、19、29、46–47：平台定位、仓库性质与企业治理。,4322,,,,,,,,,,False
79,2082,open-legal-products/mike,Mike,https://github.com/open-legal-products/mike,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"A legal document workspace for review, drafting, and research.",法务团队复用案件资料、文档库和表格式审查工作流，并连接现有协作工具。,"legal, documents",Word 插件 Beta；案例检索以美国 CourtListener 为例，专业结果需人工核验。,README L5–23、87：文档审查、项目、引用及 Slack 集成。,4254,,,,,,,,,,False
80,2089,SwanHubX/SwanLab,SwanLab,https://github.com/SwanHubX/SwanLab,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,Track AI experiments and share training results across teams.,成员在共同项目查看实验、比较参数并分享持久链接和讨论结果。,"mlops, collaboration",本仓库 SDK 与云端/自托管平台边界须区分，未测试各部署版权限。,README L180–182、224–226、544–545：训练分析与多人协作。,4223,,,,,,,,,,False
81,2165,OpenBMB/PilotDeck,PilotDeck,https://github.com/OpenBMB/PilotDeck,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,"A task workspace with inspectable memory, routing, and persistent agent work.",团队可围绕项目保留文件、技能、任务花费和可纠正记忆，便于复查交接。,"ai-native, workspace",工作区隔离不等于真人多租户；研究基准未复现，AGPL。,README L42–53、55–79、202、221：项目空间与白盒记忆。,4013,,,,,,,,,,False
82,2299,polyaxon/polyaxon,Polyaxon,https://github.com/polyaxon/polyaxon,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,Manage reproducible ML experiments and shared compute resources.,团队共享 GPU、查看成员项目与实验，统一训练工作负载。,"mlops, teams",平台组件和托管服务需区分；企业访问功能未细查。,README L22–27、172：ML 平台、共享自助资源和团队仪表盘。,3732,,,,,,,,,,False
83,2492,skyhook-io/radar,Radar,https://github.com/skyhook-io/radar,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,Explore Kubernetes resources and expose cluster context to AI agents.,运维团队共用 RBAC 限定的集群视图，向代理提供拓扑和审计上下文。,"kubernetes, operations",需配置认证和网络边界；命名空间缓存范围与权限过滤不是同一概念。,README L10、55、127–134、442：共享部署、权限与 MCP。,3403,,,,,,,,,,False
84,2502,Intelligent-Internet/ii-agent,II Agent,https://github.com/Intelligent-Internet/ii-agent,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,A general-purpose agent workspace for research and editable deliverables.,团队可在计划、研究与产物编辑之间交接，幻灯片模块明确提到协作编辑。,"ai-native, workspace",协作能力按模块区分，未核验组织权限和全部自建功能。,README L16–18、30–35、56：真实工作场景与应用模块。,3387,,,,,,,,,,False
85,2525,metorial/metorial,Metorial Catalog,https://github.com/metorial/metorial,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,An integration catalog for a shared agent identity and access platform.,团队可集中选择业务连接并在配套平台管理凭据、权限和审计。,"integrations, governance",本仓是目录，核心引擎在 metorial-platform；不可把完整控制面当目录自带。,README L21–30、Ecosystem、385：平台用途与本仓 catalog。,3356,,,,,,,,,,False
86,2904,explorerhq/sql-explorer,SQL Explorer,https://github.com/explorerhq/sql-explorer,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,Share SQL queries and explore data with AI-assisted analysis.,数据团队保存和共享查询，辅助业务成员分析数据。,"analytics, data",需适配 Django/数据库权限；不是自然语言查询正确性的保证。,README 项目介绍与功能：Django SQL 查询工具和 AI 辅助。,2874,,,,,,,,,,False
87,2952,erupts/erupt,Erupt,https://github.com/erupts/erupt,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,A Java admin framework with AI agents and permission-aware interfaces.,团队复用管理后台权限、审计和模型配置，把 AI 接入内部应用。,"java, low-code",审批引擎 Erupt Flow 为商业扩展，不能归免费核心。,README L48、206–210、241–243、339–343：RBAC 与核心/商业模块。,2814,,,,,,,,,,False
88,3014,1Panel-dev/CordysCRM,Cordys CRM,https://github.com/1Panel-dev/CordysCRM,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,A self-hosted CRM with AI skill interfaces and sales collaboration.,销售团队共用客户、权限、审批记录和分析，接入 AI 辅助线索及成单分析。,"crm, teams",FIT2CLOUD 许可含 GPLv3 之外限制；AI 助手和分析引擎需配置。,README L16、22–25、83、129：团队功能、审批和许可。,2733,,,,,,,,,,False
89,3100,AMAP-ML/SkillClaw,SkillClaw,https://github.com/AMAP-ML/SkillClaw,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,Evolve and share agent skills from recorded experience.,成员将经验交给共同演化服务，检查共享技能、验证状态与版本历史。,"skills, collaboration",团队部署需共享存储与独立服务，访问隔离和自动改进质量未实测。,README L102、127、147–166、299：共享组和演化服务。,2627,,,,,,,,,,False
90,3209,data-infra/cube-studio,CubeStudio,https://github.com/data-infra/cube-studio,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"Manage AI compute, datasets, training, and serving in shared project spaces.",团队按项目组和角色共享算力、标注任务及模型交付，集中管理权限。,"mlops, teams",旧 tencentmusic 仓已归并至此；硬件与多租户效果未实测，不逐项背书全部兼容。,README L1–5、27–29、45、172–176：新仓库与团队全链路。,2504,,,,,,,,,,False
91,3506,GammaLabTechnologies/harmonist,Harmonist,https://github.com/GammaLabTechnologies/harmonist,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,Reusable agent workflows with hooks for review and delivery checks.,团队共享评审、记忆更新和文件完整性门槛，帮助新成员沿用规范。,"engineering, governance",规则执行依宿主集成，不保证模型或所有路径无法绕过；未运行安装。,README L30–35、417、582–585：hooks、交接记忆与 onboarding。,2258,,,,,,,,,,False
92,3719,blackholll/loonflow,Loonflow,https://github.com/blackholll/loonflow,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,Manage business workflows and expose permission-aware tickets to agents.,团队共用审批、部门角色和审计，代理通过同一权限服务处理工单。,"workflows, teams",AGPL 核心，多租户需额外授权；托管 SaaS 独立。,README L32–52、109–113：流程、MCP 与多租户授权。,2090,,,,,,,,,,False
93,3730,zhimaAi/chatwiki,ChatWiki,https://github.com/zhimaAi/chatwiki,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,Automate WeChat workflows with knowledge and human escalation.,运营客服团队共享账号权限、内容草稿与人机转接流程。,"customer-support, teams",定制 Apache 衍生许可要求组织商业使用另授权，非纯 Apache。,README L12–31、46、59、174–180：微信生态与许可。,2080,,,,,,,,,,False
94,4149,APIParkLab/APIPark,APIPark,https://github.com/APIParkLab/APIPark,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"An AI gateway and developer portal for publishing shared APIs, managing access, and tracking usage.",平台团队将模型与提示模板发布为 API，业务团队通过订阅审批使用，集中查看权限和调用日志。,"gateway, governance, api, self-hosted",商业企业功能另有咨询入口，未逐项验证社区版差异；不背书性能或自动合规。,README L17-24、Use Cases L163-189,1814,,,,,,,,,,False
95,4296,superdesigndev/treg,Treg,https://github.com/superdesigndev/treg,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,"A shared tool registry and gateway for agent APIs, credentials, skills, and CLIs.",团队集中维护凭据与技能，让成员代理复用工具并保留调用审计。,"ai-native, tool-gateway, collaboration, governance",Apache 附加条款限制竞争性托管；第三方调用收费与自托管代码分开。,README 团队成员、服务端凭据、共享 skills、调用账单与日志。,1740,,,,,,,,,,False
96,4322,SecureAI-Tools/SecureAI-Tools,SecureAI Tools,https://github.com/SecureAI-Tools/SecureAI-Tools,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,Self-hosted AI chat and document Q&A with authentication and user management.,团队成员可共享一套自托管模型和文档问答入口。,"self-hosted, multi-user, rag",简单认证不等于企业 SSO/细粒度知识权限；模型服务需另配。,README 明确同事用户管理、账号认证、本地推理和 PDF 问答。,1725,,,,,,,,,,False
97,4371,mateaix/matecloud,MateCloud,https://github.com/mateaix/matecloud,工程组件另列,团队价值主要通过工程集成实现，适合基础设施或开发组件栏目，不作为即用协作产品优先推荐。,"An AI-enabled microservice scaffold with Spring AI, MCP tools, authentication, and tenant support.",Java 团队可复用身份权限、租户、审计和 AI 工具工程底座。,"ai-native, java, starter-kit, mcp",脚手架而非业务成品；实际租户隔离和所列版本兼容性未测。,README DDD、MCP CLI、会话记忆、多租户和权限 starter。,1700,,,,,,,,,,False
98,4773,fim-ai/fim-one,FIM One,https://github.com/fim-ai/fim-one,商业或许可边界待核,保留候选；先厘清团队能力的版本、服务与授权边界，再决定推荐写法。,An enterprise agent platform connecting business systems with configurable human approvals.,业务团队可统一知识、数据和系统操作，通过组织成员审批敏感动作。,"ai-native, enterprise-platform, human-in-the-loop",Source Available 非 OSI；当前 IM 首发飞书，Slack/Teams/企微等部分仍在路线图。,README agent modes、数据库连接、审批路由与飞书 GateHook。,1524,,,,,,,,,,False
99,4853,import-ai/omnibox,OmniBox,https://github.com/import-ai/omnibox,建议审阅,团队功能明确；已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"An AI knowledge hub with capture, document indexing, team permissions, and sharing.",团队可在多租户知识空间收集资料并共享问答与文档。,"ai-native, knowledge-management, collaboration, rag",RSS 仍规划；托管服务和自部署能力需实际配置验证。,README user/team、permissions、sharing、multi-tenancy 和 WeChat capture。,1492,2026-09-21T16:15:08.295601+00:00,1495,False,2026-09-17T09:56:07Z,Apache-2.0,https://github.com/import-ai/omnibox/blob/main/README.md,2cee2005da9d172e457383288c985cfacb72e3ddc92733d49e24263b5083adb6,https://github.com/import-ai/omnibox/blob/main/LICENSE,c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,False
100,4859,microsoft/azure-skills,Azure Skills Plugin,https://github.com/microsoft/azure-skills,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,Official Azure skills bundled with MCP-backed cloud workflows.,云团队可共享部署验证、诊断、成本与权限操作规范。,"ai-native, skills, azure, devops",依赖云身份及服务，工具可修改资源；技能不保证合规或安全，未执行。,README Azure skills、Azure MCP 和 Foundry MCP 三层。,1489,,,,,,,,,,False
101,4868,Open-Source-Legal/OpenContracts,OpenContracts,https://github.com/Open-Source-Legal/OpenContracts,建议审阅,团队功能明确；已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"A collaborative document-intelligence platform with annotation, citation graphs, and agents.",团队共享标注和引用依据，按语料权限、版本和讨论共同复核。,"ai-native, document-intelligence, collaboration, annotation",AI 依赖底层标注质量，不保证法律判断；未实测规模和隔离。,README corpus 版本/权限、人工标注、讨论中 @agent、API/MCP。,1485,2026-09-21T16:15:08.288214+00:00,1486,False,2026-09-19T03:46:53Z,MIT,https://github.com/Open-Source-Legal/OpenContracts/blob/main/README.md,ca77340768161948b63d062f143d449d60519ce7ecdd6c85affc5121841dd84e,https://github.com/Open-Source-Legal/OpenContracts/blob/main/LICENSE,81f0c3a20d9e858f8f6d8f73aee152af933e78afe5f2c436ee4ab5316b77f78c,False
102,5049,CloudAI-X/claude-workflow-v2,Project Starter / Claude Workflow v2,https://github.com/CloudAI-X/claude-workflow-v2,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,"Reusable development agents, skills, hooks, and project conventions.",研发团队可共享权限模板、工程规范和 review 经验。,"ai-native, skills, team-practices",跨工具仅支持相应子集，技能安装不等于全部 hooks 可用。,README Add Team Conventions、GitHub review 和完整插件。,1417,,,,,,,,,,False
103,5143,elirantutia/vibeyard,Vibeyard,https://github.com/elirantutia/vibeyard,保留待深核,存在团队使用证据；本批未补查当前维护及许可全貌，保留下一轮重点核验。,"A coding-agent IDE with shared terminal sessions, task boards, and cost tracking.",团队成员可通过加密 P2P 分享会话，选择只读或可写共同处理任务。,"ai-native, collaboration, coding",会话分享不等于完整组织 RBAC；任务自动 Done 不证明验收通过。,README WebRTC/PIN、session sharing、kanban 与遥测。,1381,,,,,,,,,,False
104,5309,aws-samples/bedrock-chat,Bedrock Chat,https://github.com/aws-samples/bedrock-chat,建议审阅,团队功能明确；已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"An AWS chat platform with knowledge bots, shared bot stores, and agent automation.",组织可共享定制知识bot，并用Cognito组控制创建权限。,"enterprise-ai, aws, rag, collaboration",V2→V3需迁移；多租户指bot元数据过滤，不直接等同独立客户强隔离。,README bot store、RAG、group gating和共享KB过滤。,1325,2026-09-21T16:15:13.312706+00:00,1326,False,2026-09-15T08:57:51Z,MIT-0,https://github.com/aws-samples/bedrock-chat/blob/v3/README.md,0dc52ec08aa7d8d2200a54b77449f42a3df5982cc8927fb18b7f430bb1d08666,https://github.com/aws-samples/bedrock-chat/blob/v3/LICENSE,7cb750713252efd1d578837ba8785b61319109906f0c10b87adab7cf4badfc42,False
105,5588,Runfusion/Fusion,Fusion,https://github.com/Runfusion/Fusion,团队直接性不足,当前证据主要支持个人使用、产物交接或代理编排，暂不优先；不是判定没有团队价值。,"An agent-driven delivery workspace with task plans, reviews, and worktree automation.",研发团队可复用验收计划、任务看板和交接邮箱。,"ai-native, software-delivery, workflow",自动合并需按任务配置；agent companies非真人组织，长时效果未测。,README PROMPT.md、review循环、手动关口和Postgres。,1238,,,,,,,,,,False
106,6316,DrizzleTime/Foxel,Foxel,https://github.com/DrizzleTime/Foxel,建议审阅,团队功能明确；已补查官方仓库状态、README 与根许可证，进入用户审阅短名单。,"Private cloud file management with semantic search, RBAC, and sharing.",团队统一多存储文件，按路径分配权限并审计操作。,"ai-assisted, file-management, collaboration",公开demo凭据不用于部署；语义权限一致性未测。,README语义搜索、RBAC/path规则和sharelinks。,1060,2026-09-21T16:15:08.567468+00:00,1061,False,2026-09-18T21:37:22Z,MIT,https://github.com/DrizzleTime/Foxel/blob/main/README.md,92bab0f6a08256167a19cb0b5f215e1a68bb342a6b1d77d32e477603ffa55861,https://github.com/DrizzleTime/Foxel/blob/main/LICENSE,ca24e0c7c346053e1f8c30ec23ffeb5e16a7be58f9d0466cd6ceee9d8c61b9ef,False
107,3,mattpocock/skills,Skills For Real Engineers,https://github.com/mattpocock/skills,方法技能另列,团队价值主要是复用规则、技能或学习材料，适合实践栏目，暂不进入协作产品短名单。,"Composable engineering skills for documenting shared terminology, producing specifications, and creating actionable tickets.",共享 CONTEXT.md 和 ADR，统一领域术语；把讨论转为规格、工单及依赖关系，支持团队交接。,"coding, skills, specifications",作者的可定制技能集，不提供组织账号和协作后台；不同安装方式可编辑性不同。,README L95-156、L184-200,266486,,,,,,,,,,False
